,fsym_id,bbg_id,bm_id,pid,strategy
0,B19ST9-R,/bbgid/BBG000BNBDC2,SP500,,US
1,B3DVXC-R,/bbgid/BBG000BJDB15,SP500,,
2,B4L66G-R,/bbgid/BBG000BQT4L6,SP500,,
3,B4PGFJ-R,/bbgid/BBG00FN64XT9,SP500,,
4,B6V0BZ-R,/bbgid/BBG000BCVG28,SP500,,US
5,B6ZP8C-R,/bbgid/BBG000BKY1G5,SP500,,
6,B6ZXQL-R,/bbgid/BBG000DHPN63,SP500,,
7,B71DJZ-R,/bbgid/BBG000CHWP52,SP500,,
8,B81TLL-R,/bbgid/BBG00KHY5S69,SP500,BG001,US
9,B83YJG-R,/bbgid/BBG00H433CR2,SP500,,
10,B97MP0-R,/bbgid/BBG000B9Z0J8,SP500,,
11,BCD4JF-R,/bbgid/BBG000BJP882,SP500,,US
12,BDQDB8-R,/bbgid/BBG000NV1KK7,SP500,BG001,US
13,BFSY5M-R,/bbgid/BBG000BNJHS8,SP500,,
14,BJ2HRV-R,/bbgid/BBG000BT41Q8,SP500,,
15,BK2FRW-R,/bbgid/BBG000MDCQC2,SP500,,
16,BK6JKQ-R,/bbgid/BBG000BVDLH9,SP500,BG001,US
17,BL5KVX-R,/bbgid/BBG000F6H8W8,SP500,,
18,BM9QXX-R,/bbgid/BBG000DKCC19,SP500,,
19,BNJBN6-R,/bbgid/BBG000QTF8K1,SP500,,
20,BPRHF0-R,/bbgid/BBG000BHGDH5,SP500,,
21,BQR5YT-R,/bbgid/BBG000C3NTN5,SP500,,
22,BQWWY7-R,/bbgid/BBG000BMW2Z0,SP500,,
23,BRWKF0-R,/bbgid/BBG000BLXZN1,SP500,,US
24,BV4P4T-R,/bbgid/BBG000BB6M98,SP500,,
25,BV8JHF-R,/bbgid/BBG000BC4JJ4,SP500,,US
26,BWDZ2P-R,/bbgid/BBG000D9D830,SP500,,
27,BWZ93Y-R,/bbgid/BBG001B4BV87,SP500,,
28,BYJYYM-R,/bbgid/BBG000BVMGF2,SP500,,
29,BYNP13-R,/bbgid/BBG000DQTXY6,SP500,,US
30,BZPFLX-R,/bbgid/BBG000BL46Q4,SP500,,
31,C0YGQ6-R,/bbgid/BBG002R1CW27,SP500,,
32,C46DK8-R,/bbgid/BBG000BPPN67,SP500,,
33,C4C0BL-R,/bbgid/BBG000CL9VN6,SP500,,
34,C4HBRT-R,/bbgid/BBG0025Y4RY4,SP500,,
35,C5GXYC-R,/bbgid/BBG000BM6788,SP500,,
36,C7C9TP-R,/bbgid/BBG00BN96922,SP500,,
37,C7M7DL-R,/bbgid/BBG000D9DMK0,SP500,,
38,C8WF4C-R,/bbgid/BBG000FV1Z23,SP500,,
39,C8XJ7D-R,/bbgid/BBG000BRDSX5,SP500,,
40,CFG1CD-R,/bbgid/BBG000TRJ294,SP500,,
41,CGGG4R-R,/bbgid/BBG000BPWXK1,SP500,,
42,CHK9QJ-R,/bbgid/BBG000BMDBZ1,SP500,,
43,CHKL7S-R,/bbgid/BBG000BNDN65,SP500,,US
44,CHR1NX-R,/bbgid/BBG000C5Z1S3,SP500,,
45,CJVKH9-R,/bbgid/BBG000BFS7D3,SP500,,
46,CL1QH9-R,/bbgid/BBG000BCMBG4,SP500,,
47,CN7T72-R,/bbgid/BBG000GXZ4W7,SP500,,
48,CPCV0Y-R,/bbgid/BBG000BSFRF3,SP500,,
49,CPCW2Z-R,/bbgid/BBG000BGPTV6,SP500,,
50,CRHPMR-R,/bbgid/BBG000C221G9,SP500,,
