,fsym_id,bbg_id,ticker,bm_id,pid,strategy,rdate
0,B19ST9-R,/bbgid/BBG000BNBDC2,LLY US,SP500,,US,2021-10-31
1,B3DVXC-R,/bbgid/BBG000BJDB15,FCX US,SP500,,,2021-10-31
2,B4L66G-R,/bbgid/BBG000BQT4L6,PBCT US,SP500,,,2021-10-31
3,B4PGFJ-R,/bbgid/BBG00FN64XT9,DXC US,SP500,,,2021-10-31
4,B6V0BZ-R,/bbgid/BBG000BCVG28,POOL US,SP500,,US,2021-10-31
5,B6ZP8C-R,/bbgid/BBG000BKY1G5,WELL US,SP500,,,2021-10-31
6,B6ZXQL-R,/bbgid/BBG000DHPN63,O US,SP500,,,2021-10-31
7,B71DJZ-R,/bbgid/BBG000CHWP52,DISCA US,SP500,,,2021-10-31
8,B81TLL-R,/bbgid/BBG00KHY5S69,AVGO US,SP500,BG001,,2021-10-31
9,B83YJG-R,/bbgid/BBG00H433CR2,EVRG US,SP500,,,2021-10-31
10,B8ZY81-R,/bbgid/BBG00ZQRGW24,OGN US,SP500,,,2021-10-31
11,B97MP0-R,/bbgid/BBG000B9Z0J8,PLD US,SP500,,,2021-10-31
12,BCD4JF-R,/bbgid/BBG000BJP882,FMC US,SP500,,,2021-10-31
13,BDQDB8-R,/bbgid/BBG000NV1KK7,DG US,SP500,BG001,US,2021-10-31
14,BFSY5M-R,/bbgid/BBG000BNJHS8,LUV US,SP500,,,2021-10-31
15,BJ2HRV-R,/bbgid/BBG000BT41Q8,SLB US,SP500,,,2021-10-31
16,BK2FRW-R,/bbgid/BBG000MDCQC2,ABC US,SP500,,,2021-10-31
17,BK6JKQ-R,/bbgid/BBG000BVDLH9,TMO US,SP500,BG001,US,2021-10-31
18,BL5KVX-R,/bbgid/BBG000F6H8W8,COST US,SP500,,,2021-10-31
19,BM9QXX-R,/bbgid/BBG000DKCC19,TSN US,SP500,,,2021-10-31
20,BNJBN6-R,/bbgid/BBG000QTF8K1,DXCM US,SP500,,,2021-10-31
21,BPRHF0-R,/bbgid/BBG000BHGDH5,DUK US,SP500,,,2021-10-31
22,BQR5YT-R,/bbgid/BBG000C3NTN5,HOLX US,SP500,,,2021-10-31
23,BQWWY7-R,/bbgid/BBG000BMW2Z0,KMB US,SP500,,,2021-10-31
24,BRWKF0-R,/bbgid/BBG000BLXZN1,TSCO US,SP500,,US,2021-10-31
25,BV4P4T-R,/bbgid/BBG000BB6M98,FE US,SP500,,,2021-10-31
26,BV8JHF-R,/bbgid/BBG000BC4JJ4,APD US,SP500,,,2021-10-31
27,BWDZ2P-R,/bbgid/BBG000D9D830,ACN US,SP500,,,2021-10-31
28,BWZ93Y-R,/bbgid/BBG001B4BV87,FBHS US,SP500,,,2021-10-31
29,BYJYYM-R,/bbgid/BBG000BVMGF2,ALL US,SP500,,US,2021-10-31
30,BYNP13-R,/bbgid/BBG000DQTXY6,DHI US,SP500,,US,2021-10-31
31,BYP0PF-R,/bbgid/BBG000C2VBB0,PTC US,SP500,,,2021-10-31
32,BZPFLX-R,/bbgid/BBG000BL46Q4,REG US,SP500,,,2021-10-31
33,C0YGQ6-R,/bbgid/BBG002R1CW27,IR US,SP500,,,2021-10-31
34,C46DK8-R,/bbgid/BBG000BPPN67,PSA US,SP500,,,2021-10-31
35,C4C0BL-R,/bbgid/BBG000CL9VN6,NFLX US,SP500,,,2021-10-31
36,C4HBRT-R,/bbgid/BBG0025Y4RY4,ABBV US,SP500,,,2021-10-31
37,C5GXYC-R,/bbgid/BBG000BM6788,TT US,SP500,,,2021-10-31
38,C7C9TP-R,/bbgid/BBG00BN96922,DOW US,SP500,,,2021-10-31
39,C7M7DL-R,/bbgid/BBG000D9DMK0,LH US,SP500,,,2021-10-31
40,C8WF4C-R,/bbgid/BBG000FV1Z23,CCI US,SP500,,,2021-10-31
41,C8XJ7D-R,/bbgid/BBG000BRDSX5,PNW US,SP500,,,2021-10-31
42,CFG1CD-R,/bbgid/BBG000TRJ294,AWK US,SP500,,,2021-10-31
43,CGGG4R-R,/bbgid/BBG000BPWXK1,NEM US,SP500,,US,2021-10-31
44,CHK9QJ-R,/bbgid/BBG000BMDBZ1,JBHT US,SP500,,,2021-10-31
45,CHKL7S-R,/bbgid/BBG000BNDN65,LOW US,SP500,,US,2021-10-31
46,CHR1NX-R,/bbgid/BBG000C5Z1S3,MU US,SP500,,,2021-10-31
47,CJVKH9-R,/bbgid/BBG000BFS7D3,CLX US,SP500,,,2021-10-31
48,CL1QH9-R,/bbgid/BBG000BCMBG4,FTNT US,SP500,,,2021-10-31
49,CN7T72-R,/bbgid/BBG000GXZ4W7,ANSS US,SP500,,,2021-10-31
50,CPCV0Y-R,/bbgid/BBG000BSFRF3,SNPS US,SP500,,,2021-10-31
51,CPCW2Z-R,/bbgid/BBG000BGPTV6,CMI US,SP500,,,2021-10-31
52,CRHPMR-R,/bbgid/BBG000C221G9,PNR US,SP500,,,2021-10-31
53,CRP3ZV-R,/bbgid/BBG000BX9WL1,ZION US,SP500,,,2021-10-31
54,CSFJSZ-R,/bbgid/BBG005P7Q881,AAL US,SP500,,,2021-10-31
55,CSMTMQ-R,/bbgid/BBG000BWXBC2,WMT US,SP500,,,2021-10-31
56,CTYNJ1-R,/bbgid/BBG000BK6MB5,GE US,SP500,,,2021-10-31
57,CY644B-R,/bbgid/BBG000BLZRJ2,MS US,SP500,,US,2021-10-31
58,CYB1M0-R,/bbgid/BBG000BBS2Y0,AMGN US,SP500,,,2021-10-31
59,CYB6Y5-R,/bbgid/BBG000BMX289,KO US,SP500,,,2021-10-31
60,CYBC69-R,/bbgid/BBG000BLF8D2,HRL US,SP500,,,2021-10-31
61,CZBYFY-R,/bbgid/BBG000BMTFR4,KLAC US,SP500,,US,2021-10-31
62,D0LDT1-R,/bbgid/BBG000BQBYR3,NVR US,SP500,,,2021-10-31
63,D1P43P-R,/bbgid/BBG000BWJFZ4,CF US,SP500,,,2021-10-31
64,D3VZJC-R,/bbgid/BBG000BS5DR2,RHI US,SP500,,,2021-10-31
65,D502G9-R,/bbgid/BBG000BB9KF2,AEP US,SP500,,,2021-10-31
66,D68983-R,/bbgid/BBG000BFVXX0,CMS US,SP500,,,2021-10-31
67,D8D820-R,/bbgid/BBG000BS9489,OMC US,SP500,,,2021-10-31
68,DBNXVB-R,/bbgid/BBG000DWG505,BRK/B US,SP500,,,2021-10-31
69,DDZB0B-R,/bbgid/BBG000BRNLL2,ALGN US,SP500,,,2021-10-31
70,DF9PT2-R,/bbgid/BBG000BD8PN9,BK US,SP500,,,2021-10-31
71,DG27Q5-R,/bbgid/BBG000BHX7N2,EMR US,SP500,,,2021-10-31
72,DG6SCF-R,/bbgid/BBG000BMZ7P7,KSU US,SP500,,US,2021-10-31
73,DGBZCC-R,/bbgid/BBG000R7Z112,DAL US,SP500,,,2021-10-31
74,DH79H0-R,/bbgid/BBG000BWSV34,WHR US,SP500,,,2021-10-31
75,DH7WLK-R,/bbgid/BBG000BHD8S7,DRE US,SP500,,,2021-10-31
76,DJBQ39-R,/bbgid/BBG000BM9RH1,CPRT US,SP500,,,2021-10-31
77,DJC2TN-R,/bbgid/BBG000BB5006,ADBE US,SP500,,,2021-10-31
78,DJC60R-R,/bbgid/BBG000BDXGP9,CAG US,SP500,,,2021-10-31
79,DLSMXK-R,/bbgid/BBG000BX3BL3,WY US,SP500,,,2021-10-31
80,DMRWLY-R,/bbgid/BBG000BJ26K7,ALB US,SP500,,,2021-10-31
81,DMX4QY-R,/bbgid/BBG00YTS96G2,APA US,SP500,,,2021-10-31
82,DRBC9M-R,/bbgid/BBG000BKR1D6,GWW US,SP500,,,2021-10-31
83,DTKPJP-R,/bbgid/BBG000B9XYV2,AMT US,SP500,BG001,US,2021-10-31
84,DTKZ1Y-R,/bbgid/BBG000BCTLF6,BAC US,SP500,,,2021-10-31
85,DXVDJ4-R,/bbgid/BBG000KLB4Q1,SWKS US,SP500,,US,2021-10-31
86,DXW84Y-R,/bbgid/BBG000BT7JW9,SNA US,SP500,,,2021-10-31
87,DXZQS6-R,/bbgid/BBG000NSCNT7,PFG US,SP500,,,2021-10-31
88,F05QG0-R,/bbgid/BBG000P458P3,DPZ US,SP500,,US,2021-10-31
89,F07Q7W-R,/bbgid/BBG000H3YXF8,CTAS US,SP500,BG001,US,2021-10-31
90,F17SJ1-R,/bbgid/BBG000BB6G37,ADI US,SP500,,,2021-10-31
91,F1B8CH-R,/bbgid/BBG000VPGNR2,CHTR US,SP500,,,2021-10-31
92,F1DFCD-R,/bbgid/BBG000BR54L0,PHM US,SP500,,US,2021-10-31
