,fsym_id,listing_currency,payment_currency,declared_date,exdate,record_date,payment_date,payment_amount,div_type,div_freq,div_initiation,skipped,exdate_l1,payment_amount_l1,div_increase,bbg_id,bbg_ticker
0,B01DPB-R,USD,USD,,2003-06-12,2003-06-16,2003-06-30,0.0799999982,regular,4,True,False,1998-11-27,0.0062500001,True,BBG000DRZH81,
1,B1C27H-R,USD,USD,,2006-03-14,2006-03-16,2006-04-03,0.125,regular,4,True,False,2000-06-13,0.31249999999999994,False,BBG000BJ5SS8,NEU US
2,B3DVXC-R,USD,USD,,2003-04-11,2003-04-15,2003-05-01,0.0450000018,regular,4,True,False,1998-10-14,0.02500000035,True,BBG000BJDB15,FCX US
3,B3DVXC-R,USD,USD,,2010-01-13,2010-01-15,2010-02-01,0.075000003,regular,4,True,False,2008-10-10,0.25,False,BBG000BJDB15,FCX US
4,B3DVXC-R,USD,USD,,2018-04-12,2018-04-13,2018-05-01,0.0500000007,regular,4,True,False,2015-10-13,0.0500000007,False,BBG000BJDB15,FCX US
5,B3DVXC-R,USD,USD,2021-03-24,2021-04-14,2021-04-15,2021-05-03,0.075,regular,4,True,False,2020-01-14,0.0500000007,True,BBG000BJDB15,FCX US
6,B3KFMN-R,CAD,USD,,1986-03-05,,1986-03-27,0.06250000062500001,regular,4,True,False,1984-08-31,0.06250000062500001,False,BBG000C1JSC8,
7,B4L66G-R,USD,USD,,1993-10-26,,1993-11-15,0.008465609088959445,regular,4,True,False,1990-10-26,0.02539682880479735,False,BBG000BQT4L6,PBCT US
8,B4PJKL-R,USD,USD,,2007-11-29,2007-12-03,2007-12-17,0.150000006,regular,4,True,False,2002-09-12,0.430000007,False,BBG000FJP263,
9,BB6XFF-R,CAD,CAD,,2011-03-15,2011-03-17,2011-04-01,0.0983050019,regular,4,True,False,2006-12-18,0.0324999988,True,BBG000HDJT35,
10,BCD4JF-R,USD,USD,,2006-03-29,2006-03-31,2006-04-20,0.04500000175,regular,4,True,False,1986-03-03,0.02426470706691178,True,BBG000BJP882,FMC US
11,BM9QXX-R,USD,USD,,1985-05-24,,1985-06-14,0.0016666667349999997,regular,4,True,False,1983-02-23,0.0017777778728888891,False,BBG000DKCC19,TSN US
12,BV8GCC-R,USD,USD,,2011-03-29,2011-03-31,2011-04-29,0.209999993,regular,4,True,False,1994-08-04,0.016666667341666674,True,BBG000F15NW9,
13,BW92P1-R,USD,USD,,2013-10-07,2013-10-09,2013-10-24,0.0399999991,regular,4,True,False,2008-11-26,0.0599999987,False,BBG000FFC0B3,NYT US
14,BWHWNF-R,USD,USD,,1986-03-11,,1986-03-31,0.08333333575,regular,4,True,False,1984-09-10,0.21666666494999978,False,BBG000K1BLV1,
15,BWJ0XK-R,USD,USD,,1993-03-30,,1993-04-15,0.100000001,regular,4,True,False,1990-09-24,0.25,False,BBG000BZRXH9,
16,BYNP13-R,USD,USD,,2014-02-05,2014-02-07,2014-02-18,0.0375000015,regular,4,True,False,2012-11-29,0.0375000015,False,BBG000DQTXY6,DHI US
17,C5CPSB-R,USD,USD,,2005-03-29,2005-03-31,2005-04-15,0.300000012,regular,4,True,False,2000-12-13,0.300000012,False,BBG000BQWPC5,PCG US
18,C7M58J-R,USD,USD,,2012-08-13,2012-08-15,2012-08-31,0.0199999996,regular,4,True,False,2008-09-29,0.150000006,False,BBG000BCX7G1,
19,C8WRSP-R,USD,USD,,1986-03-05,,1986-03-27,0.06250000062500001,regular,4,True,False,1984-08-31,0.06250000062500001,False,BBG000BQ6S47,
20,C8XJ7D-R,USD,USD,,1993-10-26,,1993-12-01,0.200000003,regular,4,True,False,1989-07-26,0.400000006,False,BBG000BRDSX5,PNW US
21,CHK9QJ-R,USD,USD,,2004-05-04,2004-05-06,2004-05-20,0.01499999965,regular,4,True,False,2000-02-01,0.012500000175,True,BBG000BMDBZ1,JBHT US
22,CHQS4N-R,CAD,CAD,,2015-04-28,2015-04-30,2015-05-21,0.1611625049,regular,2,True,False,2009-01-13,0.0613449998,True,BBG000BXDFS6,
23,CJTQXJ-R,USD,USD,,2001-09-10,2001-09-18,2001-10-01,5.625000000000001,regular,4,True,False,2000-03-27,5.625000000000001,False,BBG000N746D6,
24,CJTQXJ-R,USD,USD,,2018-10-29,2018-10-30,2018-11-15,0.140000001,regular,4,True,False,2004-06-16,5.625000000000001,False,BBG000N746D6,
25,CLYQXL-R,USD,USD,,1987-11-30,,1987-12-18,0.100000001,regular,4,True,False,1984-08-03,0.100000001,False,BBG000BC8074,
26,CP8LVX-R,CAD,CAD,,2011-01-18,2011-01-20,2011-02-10,0.0500000007,regular,2,True,False,1999-07-28,8.00000012,False,BBG000GJ1384,
27,CPHBQ7-R,USD,USD,,1992-10-27,,1992-11-27,0.0500000005,regular,2,True,False,1991-04-02,0.0500000005,False,BBG000BD9473,
28,CQDKJQ-R,USD,USD,,1992-05-28,,1992-06-10,0.0500000007,regular,4,True,False,1988-12-27,0.125,False,BBG000H5MYP3,
29,CZB1R3-R,USD,USD,,2003-09-22,2003-09-24,2003-10-10,0.0700000003,regular,4,True,False,1995-12-22,0.0500000007,True,BBG000BL09J0,
30,CZG3GX-R,CAD,CAD,,2013-05-29,2013-06-01,2013-06-21,0.600000024,regular,4,True,False,2008-11-27,1.0000000100000002,False,BBG000BC4782,
31,D1MM78-R,CAD,CAD,,1999-10-22,1999-10-26,1999-11-02,0.075000003,regular,4,True,False,1997-10-24,0.075000003,False,BBG000BCMK74,
32,D3VZJC-R,USD,USD,,2004-05-21,2004-05-25,2004-06-15,0.0599999987,regular,4,True,False,1987-04-27,0.004166667087500013,True,BBG000BS5DR2,RHI US
33,D68983-R,USD,USD,,1989-11-01,,1989-11-22,0.100000001,regular,4,True,False,1984-08-07,0.100000024,False,BBG000BFVXX0,CMS US
34,D68983-R,USD,USD,,2007-02-05,2007-02-07,2007-02-28,0.0500000007,regular,4,True,False,2002-11-06,0.180000007,False,BBG000BFVXX0,CMS US
35,D8FPTC-R,USD,USD,,2013-10-30,2013-11-01,2013-12-01,0.0500000007,regular,4,True,False,2002-11-13,0.119999997,False,BBG000BKNX95,GT US
36,DCWPWS-R,CAD,CAD,,2004-03-11,2004-03-15,2004-03-31,0.0399999991,regular,4,True,False,1991-12-09,0.0700000003,False,BBG000BWW8C0,WJX CN
37,DG6SCF-R,USD,USD,,2012-04-12,2012-04-16,2012-04-27,0.194999993,regular,4,True,False,1999-12-13,0.0799999982,True,BBG000BMZ7P7,KSU US
38,DG71WP-R,USD,USD,,1986-02-25,,1986-03-14,0.7253888605801787,regular,4,True,False,1984-08-14,0.6044906775224257,True,BBG000FH5YM1,
39,DG71WP-R,USD,USD,,2004-08-16,2004-08-18,2004-09-02,3.75,regular,4,True,False,1989-10-30,1.0343507155881395,True,BBG000FH5YM1,
40,DH6WPM-R,USD,USD,,2005-04-13,2005-04-15,2005-04-29,0.0250000004,regular,4,True,False,1999-10-13,0.0900000036,False,BBG000BTHH16,SCI US
41,DMR9HD-R,USD,USD,,1994-04-25,,1994-05-16,0.016666668350000056,regular,4,True,False,1991-07-29,0.02500000085833332,False,BBG000C3QSJ9,
42,DTKPJP-R,USD,USD,,2012-04-09,2012-04-11,2012-04-25,0.209999993,regular,4,True,False,1996-05-01,0.13,True,BBG000B9XYV2,AMT US
43,DXV75Z-R,USD,USD,,2005-03-11,2005-03-15,2005-04-15,0.0599999985,regular,4,True,False,1986-02-07,0.019999995825,True,BBG000BSZXM0,
44,DXVDJ4-R,USD,USD,,2014-05-09,2014-05-13,2014-05-22,0.109999999,regular,4,True,False,1985-07-16,0.008333334320833356,True,BBG000KLB4Q1,SWKS US
45,F05QG0-R,USD,USD,,2013-03-13,2013-03-15,2013-03-29,0.200000003,regular,4,True,False,2006-12-13,0.119999997,True,BBG000P458P3,DPZ US
46,F1DFCD-R,USD,USD,,2013-08-01,2013-08-05,2013-08-12,0.0500000007,regular,4,True,False,2008-12-18,0.0399999991,True,BBG000BR54L0,PHM US
47,F2J1J0-R,USD,USD,,1988-03-21,,1988-04-25,0.0500000007,regular,4,True,False,1982-03-09,0.100000024,False,BBG000HLQH80,
48,F3NM78-R,USD,USD,,2008-04-03,2008-04-02,2008-04-30,0.0625,regular,4,True,False,1999-03-02,0.007766666500000001,True,BBG000BFTJ91,
49,F5SQ99-R,CAD,CAD,,2010-05-27,2010-05-31,2010-06-04,3.5,regular,4,True,False,2006-05-11,0.0599999987,True,BBG000BCKY12,
50,F5SQ99-R,CAD,CAD,,2012-12-20,2012-12-24,2012-12-31,1.0,regular,1,True,False,2010-09-20,3.5,False,BBG000BCKY12,
51,F5WQ03-R,USD,USD,,1991-08-05,,1991-08-31,0.159999996,regular,4,True,False,1989-05-15,0.300000012,False,BBG000BQ1490,
52,F96WSY-R,CAD,CAD,,2018-03-19,2018-03-20,2018-04-02,0.075000003,regular,4,True,False,2015-08-26,0.300000012,False,BBG000C3CNZ7,
53,FBC2XZ-R,USD,USD,,2016-05-17,2016-05-19,2016-06-09,0.170000002,regular,4,True,False,1997-11-24,0.144999996,True,BBG000BB8PG1,
54,FBC521-R,USD,USD,,1987-02-02,,1987-02-20,0.03333333468333335,regular,4,True,False,1984-08-20,0.05000000352500006,False,BBG000C12NL7,
55,FCKBZY-R,CAD,CAD,,1995-12-11,1995-12-13,1995-12-29,0.150000006,regular,2,True,False,1992-12-08,0.150000006,False,BBG000CZK817,
56,FDQM4Z-R,CAD,CAD,,2005-04-27,2005-04-29,2005-05-16,0.046511629851162806,regular,4,True,False,1991-07-29,0.0465116296651163,True,BBG000DLD469,EXE CN
57,FNQFTK-R,USD,USD,,1988-02-03,,1988-03-01,0.125,regular,4,True,False,1985-07-31,0.125,False,BBG000DXJKZ9,
58,FNQFTK-R,USD,USD,,1995-04-04,,1995-05-01,0.0500000007,regular,4,True,False,1991-02-01,0.150000006,False,BBG000DXJKZ9,
59,FPPSQ1-R,USD,USD,,2008-11-26,2008-12-01,2008-12-15,0.75,regular,1,True,False,2007-08-13,0.75,False,BBG000C4LN67,GRMN US
