fsym_id,sector,industry_group,industry,sub_industry,sub_industry_id,industry_id,industry_group_id,sector_id
J5WL9M-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,25301040,253010,2530,25
FJ8GT6-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45301020,453010,4530,45
B1C27H-R,Materials,Materials,Chemicals,Specialty Chemicals,15101050,151010,1510,15
XQ6H9X-R,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",45202030,452020,4520,45
LX2WRB-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,25301010,253010,2530,25
W5NBSG-R,Materials,Materials,Paper & Forest Products,Forest Products,15105010,151050,1510,15
M9KTQG-R,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban,40203010,402030,4020,40
B3G4BK-R,Materials,Materials,Chemicals,Specialty Chemicals,15101050,151010,1510,15
TWTFJJ-R,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,25202010,252020,2520,25
T9KQLM-R,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,50203010,502030,5020,50
BDP5X0-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20106020,201060,2010,20
LRPWR2-R,Information Technology,Software & Services,Software,Application Software,45103010,451030,4510,45
TBRYLK-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,10102050,101020,1010,10
J0FV3X-R,Materials,Materials,Metals & Mining,Steel,15104050,151040,1510,15
F2DFHH-R,Materials,Materials,Metals & Mining,Gold,15104030,151040,1510,15
JJ3Q47-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,25201020,252010,2520,25
F2J1J0-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20106010,201060,2010,20
KW9F7H-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20106020,201060,2010,20
XQCWLZ-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,25201050,252010,2520,25
L7H19S-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,10102050,101020,1010,10
LZBB5H-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60101070,601010,6010,60
WB1QXG-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30202030,302020,3020,30
PK77G8-R,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S,45102020,451020,4510,45
C1Z2B6-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20106010,201060,2010,20
V4RQ7N-R,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,45201020,452010,4520,45
