,fsym_id,ticker_orig,
0,WM8ZW3-R,ERF CN Equity,Energy
1,FDN05J-R,CWB CT Equity,Financials
2,FPTJVK-R,SJM UN Equity,Consumer Staples
3,NT38T5-R,CTSH UW Equity,Information Technology
4,LTN366-R,CI US Equity,Health Care
5,NM9DRC-R,DDV CT Equity,#N/A N/A
6,F82H8Q-R,ZBRA US Equity,Information Technology
7,RZQS4K-R,RIG UN Equity,Energy
8,T7H5H1-R,COO UN Equity,Health Care
9,PVWPB1-R,EXPD UW Equity,Industrials
10,WPFS7S-R,CVX UN Equity,Energy
11,MH33D6-R,AAPL UW Equity,Information Technology
12,C7M7DL-R,LH UN Equity,Health Care
13,WJYLFT-R,ERO CN Equity,Materials
14,CHK9QJ-R,JBHT UW Equity,Industrials
15,NCL5GV-R,TAP US Equity,Consumer Staples
16,SFC1HV-R,TIN UN Equity,#N/A N/A
17,RMCLL5-R,LCE UN Equity,#N/A N/A
18,MJ0XB7-R,NOW US Equity,Information Technology
19,TB9J64-R,TRIP UW Equity,Communication Services
20,SHQGJR-R,8285449Q CT Equity,#N/A N/A
21,RT20YM-R,CLS CN Equity,Information Technology
22,MS9FKZ-R,BXP US Equity,Real Estate
23,WZHGL6-R,HCG CT Equity,Financials
24,Q53KKB-R,1312089D UN Equity,#N/A N/A
25,GV1D87-R,HUM CT Equity,#N/A N/A
26,MMN39J-R,RTN US Equity,Industrials
27,HF1P15-R,BWA UN Equity,Consumer Discretionary
28,KXCLHM-R,548227Q UN Equity,#N/A N/A
29,T8H08Z-R,TRQ CT Equity,Materials
30,D2WW33-R,BTE CN Equity,Energy
31,RK3DL5-R,C UN Equity,Financials
32,FV9XPC-R,CRR-U CT Equity,Real Estate
33,MMRZQ5-R,MSI UN Equity,Information Technology
34,VK6WS2-R,CS CT Equity,Materials
35,XF43NV-R,WAB US Equity,Industrials
36,RT66YK-R,AMD UW Equity,Information Technology
37,R85LND-R,UNS CT Equity,Consumer Discretionary
38,M0GKCK-R,0574018D UN Equity,#N/A N/A
39,FS319Q-R,TRV US Equity,Financials
40,D8D864-R,231330Q UN Equity,#N/A N/A
41,J2M6ZH-R,WED CT Equity,Financials
42,SDDH43-R,WBA UN Equity,Consumer Staples
43,WRVHRX-R,ROL UN Equity,Industrials
44,TX0WZQ-R,MIC CN Equity,Financials
45,B1DND3-R,TSGI CT Equity,Consumer Discretionary
46,QW0LRQ-R,1417090D CT Equity,#N/A N/A
47,SL2N3F-R,MERQ UQ Equity,#N/A N/A
48,LKPWM4-R,SWK US Equity,Industrials
49,S8ZPBT-R,TJX UN Equity,Consumer Discretionary
50,H679XT-R,XRX UN Equity,Information Technology
51,PPCTFP-R,PEP UN Equity,Consumer Staples
52,R4N0NK-R,GMP CT Equity,Financials
53,RRXTTL-R,ITW UN Equity,Industrials
54,RT4T87-R,LEG CT Equity,Energy
55,DJHD0P-R,EMP/A CN Equity,Consumer Staples
56,FPP2BC-R,PCL UN Equity,Real Estate
57,WRTQ85-R,GIL CN Equity,Consumer Discretionary
58,D68983-R,CMS UN Equity,Utilities
59,NM9SGQ-R,GBU CT Equity,Materials
60,D4C1S0-R,HEXO CN Equity,Health Care
61,RWBV02-R,K CN Equity,Materials
62,PY5NPN-R,9991734D UN Equity,Financials
63,GRRFYN-R,X UN Equity,Materials
64,XHD46K-R,MMC US Equity,Financials
65,V6ZMTG-R,COV UN Equity,Health Care
66,KK1YRK-R,GPN US Equity,Information Technology
67,CD8FDX-R,PMG CT Equity,#N/A N/A
68,X6FP15-R,FRU CN Equity,Energy
69,GW7J66-R,CVE CN Equity,Energy
70,QLGSL2-R,FB UW Equity,Communication Services
71,FBC2XZ-R,GRA UN Equity,Materials
72,DXVDJ4-R,SWKS UW Equity,Information Technology
73,PP7QRZ-R,VEN CT Equity,#N/A N/A
