,fsym_id,exdate,bbg_id,in_index
0,CRNHT8-R,1/1/2020 0:00,BBG000BDF0G4,1
1,DMSDLF-R,1/1/2020 0:00,BBG000BXWF96,1
2,FCCHG2-R,1/1/2020 0:00,BBG00B5CBKJ6,1
3,FPVHPG-R,1/1/2020 0:00,BBG000BLKC01,1
4,GW7J66-R,1/1/2020 0:00,BBG000FT86F1,1
5,JDDDQJ-R,1/1/2020 0:00,BBG009CL5J76,1
6,JZGFGR-R,1/1/2020 0:00,BBG0049FN2L5,1
7,PRR12D-R,1/1/2020 0:00,BBG000C460K8,1
8,RWBV02-R,1/1/2020 0:00,BBG000BK4N16,1
9,TQ33B3-R,1/1/2020 0:00,BBG000BZH3D0,1
10,TR8891-R,1/1/2020 0:00,BBG000C40QG2,1
11,WRTQ85-R,1/1/2020 0:00,BBG000BQ5ZN1,1
12,X2DZC9-R,1/1/2020 0:00,BBG004G493C6,1
