,fsym_id,exdate,bbg_id,in_index
0,B04V7K-R,2020-12-30,BBG000C0R327,1
1,B28MQ9-R,2020-10-15,BBG000BP02D2,0
2,B2YXGF-R,2020-10-29,BBG004N1KV84,0
3,B3F6KP-R,2020-07-09,BBG000BNQC47,0
4,B4L66G-R,2020-10-30,BBG000BQT4L6,1
5,B6YRHH-R,2020-10-26,BBG000BRYD38,0
6,B6ZXQL-R,2020-12-31,BBG000DHPN63,1
7,BBV3KZ-R,2020-10-14,BBG00JGMWFM9,0
8,BCD5LG-R,2020-10-27,BBG000CTV4N4,0
9,BCHRDT-R,2020-12-30,BBG000BV7ZW8,1
10,BDQDB8-R,2020-10-05,BBG000NV1KK7,1
11,BFMPK2-R,2020-11-27,BBG00RDKMTW8,1
12,BFSQSF-R,2020-12-21,BBG000BMT0R7,1
13,BK136M-R,2020-10-09,BBG000C42VL3,0
14,BK5ZJ6-R,2020-10-29,BBG000BHLJW9,0
15,BNFMGN-R,2020-10-23,BBG000BS2ZD1,0
16,BNMLW8-R,2020-12-24,BBG000D5BDF6,1
17,BQVVZ8-R,2020-10-01,BBG000BLL051,0
18,BT4P4V-R,2020-10-01,BBG000TJM7F0,1
19,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0
20,BTJCBQ-R,2020-11-27,BBG003FX9C44,0
21,BW92P1-R,2020-10-06,BBG000FFC0B3,1
22,BWDZ2P-R,2020-10-09,BBG000D9D830,1
23,BXKBJW-R,2020-12-30,BBG000PXLSN9,0
24,BZPTB8-R,2020-10-22,BBG000FSMWC3,0
25,C11683-R,2020-01-15,BBG000L35KD5,0
26,C4HBRT-R,2020-10-14,BBG0025Y4RY4,1
27,C5P72D-R,2020-12-30,BBG000BGLFP7,0
28,C7SKKL-R,2020-10-08,BBG000BDZMP4,0
29,C8XJ7D-R,2020-10-30,BBG000BRDSX5,1
30,C8XMFH-R,2020-10-29,BBG000BJM0H2,0
31,CFJ279-R,2020-12-30,BBG000QBM0Z3,1
