,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04V7K-R,2021-06-29,BBG000C0R327,1,CAD
1,B28MQ9-R,2021-04-14,BBG000BP02D2,0,USD
2,B2YXGF-R,2021-04-29,BBG004N1KV84,0,USD
3,B3DVXC-R,2021-04-14,BBG000BJDB15,1,USD
4,B3F6KP-R,2021-01-07,BBG000BNQC47,0,USD
5,B4L66G-R,2021-04-30,BBG000BQT4L6,1,USD
6,B6YRHH-R,2021-04-26,BBG000BRYD38,0,USD
7,B6ZXQL-R,2021-06-30,BBG000DHPN63,1,USD
8,BBV3KZ-R,2021-04-14,BBG00JGMWFM9,0,USD
9,BCD5LG-R,2021-04-27,BBG000CTV4N4,0,USD
10,BCHRDT-R,2021-06-29,BBG000BV7ZW8,1,CAD
11,BDQDB8-R,2021-04-05,BBG000NV1KK7,1,USD
12,BFMPK2-R,2021-06-29,BBG00RDKMTW8,1,CAD
13,BFSQSF-R,2021-06-21,BBG000BMT0R7,1,CAD
14,BK136M-R,2021-04-13,BBG000C42VL3,0,USD
15,BK5ZJ6-R,2021-04-29,BBG000BHLJW9,0,USD
16,BL5KVX-R,2021-04-29,BBG000F6H8W8,1,USD
17,BNFMGN-R,2021-04-23,BBG000BS2ZD1,0,USD
18,BNMLW8-R,2021-06-24,BBG000D5BDF6,1,CAD
19,BRYLF1-R,2021-04-14,BBG000DKDWS5,0,USD
20,BS21X5-R,2020-01-31,BBG000C4Q0W3,0,USD
21,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0,USD
22,BTJCBQ-R,2021-06-29,BBG003FX9C44,0,CAD
23,BW92P1-R,2021-04-06,BBG000FFC0B3,1,USD
24,BWDZ2P-R,2021-04-14,BBG000D9D830,1,USD
25,BXKBJW-R,2021-06-29,BBG000PXLSN9,0,CAD
26,BZPTB8-R,2021-04-22,BBG000FSMWC3,0,USD
27,C11683-R,2020-01-15,BBG000L35KD5,0,USD
28,C4HBRT-R,2021-04-14,BBG0025Y4RY4,1,USD
29,C5P72D-R,2021-06-29,BBG000BGLFP7,0,USD
30,C7SKKL-R,2021-04-08,BBG000BDZMP4,0,USD
31,C8XJ7D-R,2021-04-30,BBG000BRDSX5,1,USD
32,C8XMFH-R,2021-04-29,BBG000BJM0H2,0,USD
33,CFJ279-R,2021-06-29,BBG000QBM0Z3,1,CAD
34,CHKL7S-R,2021-04-20,BBG000BNDN65,1,USD
35,CJVKH9-R,2021-04-20,BBG000BFS7D3,1,USD
36,CKVS0L-R,2021-05-03,BBG000C2ND43,0,CAD
37,CN458N-R,2021-04-08,BBG000BMHNT8,0,USD
38,CRHPMR-R,2021-04-22,BBG000C221G9,1,USD
39,CRHZ50-R,2020-01-16,BBG000C0MQQ5,0,USD
40,CRNBH3-R,2020-01-30,BBG000BP63C5,0,USD
41,CRNHT8-R,2021-04-21,BBG000BDF0G4,1,CAD
42,CSS5YT-R,2021-04-30,BBG000BGBTC2,0,USD
43,CX6P1R-R,2021-06-29,BBG000PY5XQ1,1,CAD
44,CY644B-R,2021-04-29,BBG000BLZRJ2,1,USD
45,CYBC69-R,2021-04-09,BBG000BLF8D2,1,USD
46,D00LZG-R,2020-01-16,BBG0029SH078,0,USD
47,D1LJ47-R,2021-03-11,BBG000BGXZB5,0,USD
48,D3VJNY-R,2020-01-30,BBG000BM3HK5,0,USD
49,D3WHHV-R,2021-06-15,BBG000BS21R1,0,USD
50,D4VRCD-R,2021-04-01,BBG001LFLZZ1,0,USD
51,D54YRW-R,2021-04-08,BBG000BCRMB0,1,CAD
52,D68LVD-R,2021-03-09,BBG000C5QMB5,0,USD
53,D70L9L-R,2021-06-15,BBG000FV0NL0,0,USD
54,DBT2S7-R,2021-04-29,BBG000BPFCM4,0,USD
55,DCV2T8-R,2021-04-06,BBG000BRF6K5,0,USD
56,DF2L7D-R,2021-04-08,BBG00ZXBJ153,0,USD
57,DF9PT2-R,2021-04-27,BBG000BD8PN9,1,USD
58,DJHD0P-R,2021-04-14,BBG000BYMXV1,1,CAD
59,DK5Q77-R,2020-02-10,BBG00LVGRM32,0,USD
60,DKMPBT-R,2021-06-29,BBG000C88125,0,USD
61,DKTB77-R,2021-04-29,BBG0015XMW40,0,USD
