,fsym_id,exdate,bbg_id,in_index,listing_currency
0,CFG4FC-R,2020-09-24,BBG004M233H4,0,USD
1,D67D5X-R,2020-02-12,BBG00GQ30QD7,0,USD
2,D76H2N-R,2020-03-30,BBG004G02108,0,CAD
3,DLM4FD-R,2020-12-11,BBG000BW8G20,0,USD
4,FGW76H-R,2000-12-15,BBG000BF6756,1,USD
5,H579SQ-R,2020-12-18,BBG000BVJNQ9,0,USD
6,J3NGGR-R,2020-12-03,BBG000C126H9,0,USD
7,LHY6VB-R,2020-03-13,BBG007PN0JL1,0,CAD
8,N6T9G2-R,2020-03-13,BBG000BPXZ43,0,USD
9,NW7Q44-R,2020-02-20,BBG006G57XG0,0,USD
10,PC2KK2-R,2020-12-17,BBG000BMZ5P1,1,CAD
11,PT28X8-R,2017-11-29,BBG003LP1L33,0,CAD
12,R582JZ-R,2020-10-09,BBG00LFV6BR8,0,USD
13,RV63WK-R,2020-03-19,BBG000BB3080,0,USD
14,V2H5QG-R,2020-12-14,BBG000B9YJ35,1,USD
15,XFW8B2-R,2020-03-12,BBG005T0KPY1,0,USD
0,R856Y1-R,,BBG000DZQYV0,1,CAD
1,K960HM-R,,BBG000Q39RP8,0,USD
2,WQL0KZ-R,,BBG000V8NC69,0,USD
3,XPLD03-R,,BBG000QP2SN6,0,USD
4,DCWB5F-R,,BBG000N0MYZ6,0,USD
5,KM9V14-R,,BBG000CQ5PH9,0,USD
6,WL53BC-R,,BBG000CYTTJ6,0,USD
7,QBNYB3-R,,BBG000BFLH48,0,USD
8,V1HC1N-R,,BBG000VC6WR2,1,CAD
9,D9PBHM-R,,BBG000K9LLR8,0,USD
10,FJWB59-R,,BBG00NR75V37,0,USD
