,fsym_id,exdate,bbg_id,in_index
0,B0C8MQ-R,2020-09-29 00:00:00,BBG002CV4KG7,0
1,B18RVB-R,2020-09-03 00:00:00,BBG000DX9JV7,0
2,B1B7NQ-R,2020-09-29 00:00:00,BBG000MW3JB7,0
3,B1C27H-R,2020-09-14 00:00:00,BBG000BJ5SS8,1
4,B29NTD-R,2020-09-30 00:00:00,BBG000MG3Y65,0
5,B2BZ5H-R,2020-04-03 00:00:00,BBG000BF1GD2,0
6,B2F8KN-R,2020-09-29 00:00:00,BBG000BLJWF3,0
7,B2G826-R,2020-09-04 00:00:00,BBG006BFYZP8,0
8,B2N1H0-R,2020-09-22 00:00:00,BBG000BGSJM5,0
9,B3DLD3-R,2020-09-08 00:00:00,BBG000BB90B0,0
10,B3DMG4-R,2020-09-29 00:00:00,BBG000BVN235,0
11,B3H59J-R,2020-06-29 00:00:00,BBG000FPKJ21,0
12,B5PGKM-R,2020-09-29 00:00:00,BBG000F8RCH1,0
13,B71KBM-R,2020-09-24 00:00:00,BBG005NDTZZ7,0
14,B81TLL-R,2020-09-21 00:00:00,BBG00KHY5S69,1
15,B844XN-R,2020-09-04 00:00:00,BBG000C2S411,0
16,B873PK-R,2020-09-29 00:00:00,BBG000BCSPR5,0
17,B943ZQ-R,2020-09-14 00:00:00,BBG000BTNV54,0
18,B97MP0-R,2020-09-16 00:00:00,BBG000B9Z0J8,1
19,B97V26-R,2020-09-24 00:00:00,BBG000BMTX31,0
20,BCD4JF-R,2020-09-29 00:00:00,BBG000BJP882,1
21,BDHQGW-R,2020-09-17 00:00:00,BBG000BJMHG6,0
22,BDMWDS-R,2020-09-14 00:00:00,BBG000DPP7S6,1
23,BDP2V1-R,2020-09-16 00:00:00,BBG000TGNSP8,0
24,BFMPK2-R,2020-11-27 00:00:00,BBG00RDKMTW8,1
25,BFMR8R-R,2020-09-14 00:00:00,BBG000F9XVR9,0
26,BFSLJ9-R,2020-09-01 00:00:00,BBG000BPQ0F6,0
27,BGCWZ0-R,2020-09-29 00:00:00,BBG00LV100N0,0
28,BGQGQJ-R,2020-09-29 00:00:00,BBG000VTK7D9,0
29,BGVSZL-R,2020-09-30 00:00:00,BBG0015CS0M0,0
30,BJ156L-R,2020-09-15 00:00:00,BBG000C01N85,0
31,BJ2HRV-R,2020-09-01 00:00:00,BBG000BT41Q8,1
32,BK6JKQ-R,2020-09-14 00:00:00,BBG000BVDLH9,1
33,BL5KVX-R,2020-10-29 00:00:00,BBG000F6H8W8,1
34,BL6MWX-R,2020-09-11 00:00:00,BBG000C4HG85,0
35,BL85VC-R,2020-09-09 00:00:00,BBG000BGRB25,0
36,BNMF4Q-R,2020-09-14 00:00:00,BBG006D4PF48,0
37,BPPLYC-R,2020-06-18 00:00:00,BBG000BVRYH6,0
38,BPQGG1-R,2020-09-24 00:00:00,BBG000BJQ0F0,0
39,BQQGL4-R,2020-08-31 00:00:00,BBG00B8NWRF5,0
40,BQRPY9-R,2020-07-07 00:00:00,BBG000BSQFQ5,0
41,BQWBWQ-R,2020-09-29 00:00:00,BBG000NSQ9M0,0
42,BQWWY7-R,2020-09-03 00:00:00,BBG000BMW2Z0,1
43,BRWC0T-R,2020-09-30 00:00:00,BBG000BXPZB7,0
44,BRYLF1-R,2020-10-14 00:00:00,BBG000DKDWS5,0
45,BTJCBQ-R,2020-11-27 00:00:00,BBG003FX9C44,0
46,BV8JHF-R,2020-09-30 00:00:00,BBG000BC4JJ4,1
47,BXD9Z5-R,2020-10-02 00:00:00,BBG000BKFNX9,0
48,BXX7VM-R,2020-09-17 00:00:00,BBG0076WG2V1,0
49,BYKL46-R,2020-09-30 00:00:00,BBG000BB5B84,0
50,BYNP13-R,2020-08-11 00:00:00,BBG000DQTXY6,1
51,BZNZRH-R,2020-09-18 00:00:00,BBG000BH37H2,0
52,BZPFLX-R,2020-08-13 00:00:00,BBG000BL46Q4,1
53,BZTPQX-R,2020-09-29 00:00:00,BBG0014PMBR9,0
54,C0GXG1-R,2020-09-29 00:00:00,BBG004CYX1M0,0
55,C0ZKS6-R,2020-09-29 00:00:00,BBG006FD67J9,1
56,C335D8-R,2020-09-29 00:00:00,BBG000K1T9L0,0
57,C36B93-R,2020-09-15 00:00:00,BBG000JHD355,0
58,C36Z5C-R,2020-09-29 00:00:00,BBG00GQVWWP4,0
59,C46DK8-R,2020-09-14 00:00:00,BBG000BPPN67,1
60,C49B95-R,2020-09-22 00:00:00,BBG000R3NQ37,0
61,C4G7HM-R,2020-09-14 00:00:00,BBG000N7N3S6,0
62,C5GXYC-R,2020-09-03 00:00:00,BBG000BM6788,1
63,C5HXV9-R,2020-09-18 00:00:00,BBG000BQQKG9,0
64,C6HXZD-R,2020-09-24 00:00:00,BBG000BJNV83,0
65,C6N75F-R,2020-09-29 00:00:00,BBG000BLMXN8,0
66,C7LQF3-R,2020-09-14 00:00:00,BBG000BMKQF2,0
67,C7S5ZC-R,2020-09-15 00:00:00,BBG000FPK736,0
68,C8WF4C-R,2020-09-14 00:00:00,BBG000FV1Z23,1
69,C8Z5J2-R,2020-09-29 00:00:00,BBG000PNBZF5,0
70,C9WF8G-R,2020-09-14 00:00:00,BBG000CTV5F0,0
71,CC103V-R,2020-09-21 00:00:00,BBG000PNVMY1,0
72,CD94SL-R,2020-09-29 00:00:00,BBG000G5FQQ8,1
73,CDBJDW-R,2020-09-10 00:00:00,BBG000BZRV74,0
74,CDHX5F-R,2020-09-29 00:00:00,BBG00265T6Q4,0
75,CFG4FC-R,2020-06-22 00:00:00,BBG004M233H4,0
76,CFG9RJ-R,2020-09-28 00:00:00,BBG000BLPL88,0
77,CG3M36-R,2020-09-08 00:00:00,BBG00B0VKL16,1
78,CGGG4R-R,2020-09-09 00:00:00,BBG000BPWXK1,1
79,CGKFVK-R,2020-09-29 00:00:00,BBG000BYMDW4,1
80,CGLGTJ-R,2020-09-03 00:00:00,BBG000BGRMB1,0
81,CHKFZN-R,2019-12-09 00:00:00,BBG000DH6FW2,0
82,CHPZMX-R,2020-09-10 00:00:00,BBG000BRX064,0
83,CKW5DL-R,2020-09-29 00:00:00,BBG006NTSJ78,0
84,CL0K42-R,2020-09-29 00:00:00,BBG000TRF2V3,0
85,CLZ09Q-R,2020-09-14 00:00:00,BBG000BD1VR9,1
86,CN2XXH-R,2020-09-30 00:00:00,BBG000BR89C6,0
87,CN4BLT-R,2020-09-09 00:00:00,BBG000BKLTP8,0
88,CN862K-R,2020-09-15 00:00:00,BBG000KT0GV3,0
89,CNFDYC-R,2020-09-10 00:00:00,BBG004HTNXJ1,0
90,CP777M-R,2020-09-10 00:00:00,BBG000BGF8B5,0
91,CPDLGN-R,2020-09-29 00:00:00,BBG000GPZ8D6,0
92,CQBWC5-R,2020-09-29 00:00:00,BBG000QKJ2S1,0
93,CQCV51-R,2020-09-25 00:00:00,BBG000BY34Q2,1
94,CQCYC4-R,2020-09-14 00:00:00,BBG000LLRNX3,0
95,CQJ4C2-R,2020-09-15 00:00:00,BBG000HQVS07,1
96,CRP2XT-R,2020-09-18 00:00:00,BBG000J50B66,0
97,CSMTMQ-R,2020-08-13 00:00:00,BBG000BWXBC2,1
98,CST91V-R,2020-09-15 00:00:00,BBG000C33LV5,0
99,CTRXKN-R,2020-09-15 00:00:00,BBG000C16MS8,0
100,CTT4XT-R,2020-09-14 00:00:00,BBG000C45B16,0
101,CTYNJ1-R,2020-09-25 00:00:00,BBG000BK6MB5,1
102,CW0MCZ-R,2020-09-14 00:00:00,BBG000Q1NMJ4,0
103,CW1WT5-R,2020-09-17 00:00:00,BBG000HJPD21,0
104,CWK4YJ-R,2020-09-14 00:00:00,BBG000JZ26N0,0
105,CX1BWR-R,2020-09-17 00:00:00,BBG000BNSKG4,0
106,CX1RP4-R,2020-09-14 00:00:00,BBG000BYN5H7,0
107,CX4YX8-R,2020-09-29 00:00:00,BBG000Q1SFC1,0
108,CY9XBW-R,2020-09-29 00:00:00,BBG000BZ6FG2,1
109,CYC4Q1-R,2020-11-03 00:00:00,BBG000DD3510,1
110,CYCD58-R,2020-09-29 00:00:00,BBG000BG6R50,0
111,CYDD26-R,2020-09-29 00:00:00,BBG000PMY9R7,0
112,CZ9R4T-R,2020-09-30 00:00:00,BBG000BX2YN2,0
113,D0JBW3-R,2020-09-23 00:00:00,BBG000GZ8014,0
114,D0L8JX-R,2020-03-04 00:00:00,BBG000C402P5,0
115,D19BNN-R,2020-09-14 00:00:00,BBG004PZTSC0,0
116,D1LJ47-R,2020-04-29 00:00:00,BBG000BGXZB5,0
117,D1QLY2-R,2020-09-29 00:00:00,BBG000K8V7C6,0
118,D1RT76-R,2020-05-12 00:00:00,BBG000BRX8P6,0
119,D2X9YJ-R,2020-09-29 00:00:00,BBG000N5N6Z5,0
120,D409SF-R,2004-01-08 00:00:00,BBG000BLSDQ3,0
121,D41032-R,2020-09-14 00:00:00,BBG000B9WWP4,0
122,D50TX0-R,2020-06-04 00:00:00,BBG00RQ70GQ2,0
123,D54VKS-R,2020-09-02 00:00:00,BBG000BYJHW9,0
124,D64BQD-R,2020-09-03 00:00:00,BBG000M081B1,0
125,D68LVD-R,2020-09-24 00:00:00,BBG000C5QMB5,0
126,D76H2N-R,2020-03-30 00:00:00,BBG004G02108,0
127,D79MYG-R,2020-09-04 00:00:00,BBG000BCT053,1
128,D8D820-R,2020-09-18 00:00:00,BBG000BS9489,1
129,D8K39K-R,2020-08-21 00:00:00,BBG000C0BZD1,0
130,DBJ107-R,2020-09-29 00:00:00,BBG00CJZ8JV1,0
131,DCKZCP-R,2020-09-14 00:00:00,BBG003NXJNH6,0
132,DCWPWS-R,2020-09-14 00:00:00,BBG000BWW8C0,1
133,DF2L7D-R,2020-10-08 00:00:00,BBG000BYWTX7,0
134,DF336W-R,2020-08-31 00:00:00,BBG000BFXZH1,0
135,DFZZD1-R,2020-09-29 00:00:00,BBG0022MMQB0,0
136,DG6SCF-R,2020-09-11 00:00:00,BBG000BMZ7P7,1
137,DH6WPM-R,2020-09-14 00:00:00,BBG000BTHH16,1
138,DJD3SM-R,2020-09-29 00:00:00,BBG000BPYD87,0
139,DJJ9XP-R,2020-09-28 00:00:00,BBG000PFLGY2,0
140,DKB8F0-R,2020-09-29 00:00:00,BBG004HQLJH2,0
141,DKJ8VM-R,2020-09-29 00:00:00,BBG000BS4MP5,1
142,DKNHXL-R,2020-09-10 00:00:00,BBG000BRQYZ6,0
143,DLDJBQ-R,2020-09-09 00:00:00,BBG00NX1GR67,0
144,DLM4FD-R,2020-06-04 00:00:00,BBG000BW8G20,0
145,DLSMXK-R,2020-03-05 00:00:00,BBG000BX3BL3,1
146,DMRTGW-R,2020-09-29 00:00:00,BBG000DVB833,0
147,DMRWLY-R,2020-09-17 00:00:00,BBG000BJ26K7,1
148,DNSP7S-R,2020-09-24 00:00:00,BBG000QQFVK6,0
149,DNXT3N-R,2020-09-15 00:00:00,BBG000KS51L4,0
150,DP1H43-R,2020-09-03 00:00:00,BBG000CHLQ98,0
151,DQ5YSD-R,2020-10-01 00:00:00,BBG000DHPRW5,0
152,DQ7S83-R,2020-09-25 00:00:00,BBG000BRWTW3,0
153,DQ8HMS-R,2020-09-30 00:00:00,BBG000HF28Q9,0
154,DR8RC7-R,2020-09-17 00:00:00,BBG000Q90C31,0
155,DSG4N8-R,2020-09-29 00:00:00,BBG000BYFNG8,0
156,DSXPK2-R,2020-10-01 00:00:00,BBG0044K5DM4,0
157,DTKPJP-R,2020-09-25 00:00:00,BBG000B9XYV2,1
