bm_id,fsym_id,bbg_id,cnt
SP500,B3DVXC-R,BBG000BJDB15,1
SP500,FBCHQC-R,BBG000BNGTQ7,1
SP500,FQJDL3-R,BBG0035M2ZB7,1
SP500,KB2QBM-R,BBG000CVWGS6,1
SP500,KSWML9-R,BBG000BL9JQ1,1
SP500,KTPK4Q-R,BBG0035LY913,1
SP500,L8SKLT-R,BBG000DQLV23,1
SP500,LPRN3T-R,BBG00JHNJW99,1
SP500,LZBPWV-R,BBG00Y4RQNH4,1
SP500,M1H0C2-R,BBG000BJ2D31,1
SP500,M8XT6B-R,BBG00JHNKJY8,1
SP500,NW8BQ3-R,BBG000G6Y5W4,1
SP500,NZMV05-R,BBG000D7RKJ5,1
SP500,PVG5TM-R,BBG00RRGSJR4,1
SP500,PVWPB1-R,BBG000BJ5GK2,1
SP500,R5RD6T-R,BBG000BKLH74,1
SP500,RJ0FT9-R,BBG000BS0ZF1,1
SP500,T7H5H1-R,BBG000BG3445,1
SP500,TWS77D-R,BBG000BHK836,1
SP500,WQK5W2-R,BBG000C2ZCH8,1
SP500,WPFS7S-R,BBG000K4ND22,2
SP500,WPKF66-R,BBG000BCWCG1,2
SP500,WRVHRX-R,BBG000BSBBP1,2
SP500,WYJT0C-R,BBG000FFDM15,2
SP500,X0N4MP-R,BBG000BHLYS1,2
SP500,X1RJ5Y-R,BBG000BQ74K1,2
SP500,X59HZ5-R,BBG000BY33P5,2
SP500,X8LB4Q-R,BBG000D9KWL9,2
SP500,X9Q3HC-R,BBG000CGJMB9,2
SP500,XD67LR-R,BBG000PV27K3,2
SP500,XF43NV-R,BBG000BDD940,2
SP500,XGFDHN-R,BBG000BT9DW0,2
SP500,XHD46K-R,BBG000BP4MH0,2
SP500,XKT8J2-R,BBG000D2M0Z7,2
SP500,XLY63V-R,BBG000BBBNC6,2
SP500,XM8P7T-R,BBG0019JZ882,2
SP500,XMYTFJ-R,BBG000CB8Q50,2
SP500,TWTDGH-R,BBG000CTQBF3,2
SP500,TWXW2R-R,BBG000BQQH30,2
SP500,TNZ1G6-R,BBG000BP0KQ8,2
SP500,TTDQ0D-R,BBG00286S4N9,2
SP500,TVTFDF-R,BBG000BCVJ77,2
SP500,TW6KKV-R,BBG0039320N9,2
SP500,THB4X2-R,BBG000FRVHB9,2
SP500,TKKPJB-R,BBG000BXRPH1,2
SP500,TMTGLT-R,BBG000B9XG87,2
SP500,TY1WWM-R,BBG000DN7P92,2
SP500,TY202Q-R,BBG000JG0547,2
SP500,TZ2TSL-R,BBG000BWVSR1,2
SP500,V2H5QG-R,BBG000B9YJ35,2
SP500,V5WMVF-R,BBG000BHCP19,2
SP500,V75BKP-R,BBG000BHB3M6,2
SP500,V9977J-R,BBG000MBDGM6,2
SP500,VBK29Z-R,BBG000C45984,2
SP500,VCNXSP-R,BBG000BH3GZ2,2
SP500,VDPDV7-R,BBG000CN3S73,2
SP500,VDT85V-R,BBG000BR3KL6,2
SP500,VFT0VQ-R,BBG000BDDNH5,2
SP500,VFY8ZQ-R,BBG000BC1L02,2
SP500,VK7M4R-R,BBG000BR2B91,2
