,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,CFF5LG-R,2021-11-12,2014-12-24,BBG00GFSQZ82,0,0.92592591
1,DZ47HJ-R,2021-11-08,2006-02-17,BBG000LYBQL8,0,7.0
2,FV6WXJ-R,2021-11-02,1994-06-27,BBG003D482W2,0,0.995841026
3,GSS5GF-R,2021-11-10,2017-06-08,BBG000L2ZFJ9,0,200.0
4,HWSTY6-R,2021-11-17,2020-12-22,BBG000CHXVD9,0,0.948089004
5,K8ZL7L-R,2021-11-30,2021-11-09,BBG000BJYZD6,0,0.952381015
6,LLZLBD-R,2021-11-29,2021-11-10,BBG000HLXBR4,0,0.909090996
7,PY8XXQ-R,2021-11-12,2021-09-14,BBG000H7LBD3,0,0.992460132
8,SRQB8C-R,2021-11-26,2021-11-02,BBG000GHLDQ4,0,0.333333343
9,T56Q2X-R,2021-11-18,2019-03-06,BBG000BYG6S1,0,24.691
