Name,ISIN,Ticker,Morningstar Fair Value Status,Morningstar Rating Overall,Price/Fair Value,Morningstar Fair Value Per Share,Fair Value Uncertainty,Consider Buying,Consider Selling,Economic Moat,Business Risk Pillar,Moat Trend,Morningstar Credit Rating,Moat Source - Cost Advantage,Moat Source - Efficient Scale,Moat Source - Intangible Assets,Moat Source - Network Effect,Moat Source - Switch Cost,Quantitative Fair Value Estimate Base Currency,Quantitative Valuation,Quantitative Valuation Score,Quantitative Valuation Uncertainty,Quantitative Valuation Uncertainty Score,Quantitative Financial Health,Quantitative Financial Health Score,Quantitative Moat,Quantitative Moat Score,Payout Ratio TTM,Div Growth % 1 Yr (FY 1),Div Growth % 3 Yr (FY 1),Div Growth % 5 Yr (FY 1),Div Growth % 10 Yr (FY 1),Dividend Yield % TTM,Market Cap (mil) (Daily) Base Currency,Equity Style Box (Long),Daily Closing Price 2021-06-16 Base Currency,Return (Day to Day) 2021-05-17 to 2021-06-16 Base Currency,Price 52 Wk High Base Currency,Price 52 Wk Low Base Currency,Beta 3 Yr (Mo-End),Beta 5 Yr (Mo-End),EBT Margin % 1 Yr - FY1,ROIC (TTM),Rev Growth % 1 Yr (FY 1),Rev Growth % 3 Yr (FY 1),Rev Growth % 5 Yr (FY 1),FCF Growth % 1 Yr - FY1,FCF Growth % 3 Yr - FY1,CFO Growth % 3 Yr - FY1,Book Value per Share Growth % 3 Yr,Financial Health Grade,P/E Ratio (TTM) (Long),P/E Ratio 5 Yr Avg,PEG Ratio,Earnings Yield % TTM,Sector,Industry,GICS Sector,GICS Industry,GICS Sub-Industry,SecId,Company Id,Exchange Country,Ticker,ROIC % (TTM),ROIC % FY 1,ROIC % 1 Yr Year2008,ROIC % 1 Yr Year2009,ROIC % 1 Yr Year2010,ROIC % 1 Yr Year2011,ROIC % 1 Yr Year2012,ROIC % 1 Yr Year2013,ROIC % 1 Yr Year2014,ROIC % 1 Yr Year2015,ROIC % 1 Yr Year2016,ROIC % 1 Yr Year2017,Return on Equity TTM 2021-05,ROE % FY 1,ROE % FY 2,ROE % FY 3,ROE % FY 4,ROE % FY 5,ROE % FY 6,ROE % FY 7,ROE % FY 8,ROE % FY 9,ROE % FY 10,Probability of Default,Sustainalytics Rating Date,Sustainalytics Peer Group Name,Sustainalytics ESG Risk Classification,Sustainalytics ESG Risk Score,ESG Risk Rating Assessment,Notable Material ESG Issue 1,Notable Material ESG Issue 2,Notable Material ESG Issue 3,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics Environmental Risk Score,Sustainalytics Social Risk Score,Sustainalytics Governance Risk Score,Company Controversy Level Descriptor,Company Highest Controversy Level,Company Highest Controversy Topics,,,
Brookfield Business Partners LP,BMG162341090,BBU.UN,,,,,,,,,,,,,,,,,59.91,Undervalued,1.10,High,0.26,Moderate,0.49,None,0.57,0.16,0.00,0.00,,,0.58,"4,297.68",Mid Value,54.63,-2.75,59.83,34.28,1.50,1.52,1.95,0.98,-12.54,18.14,41.00,192.28,,,0.62,C,28.71,,,3.57,Industrials,Conglomerates,Industrials,,,0P000184IV,0C0000B49J,Canada,BBU.UN,0.98,-0.34,,,,,,9.22,1.08,1.75,0.09,-1.52,13.32,-4.50,2.35,4.72,-4.16,0.20,0.00,0.00,11.14,,,0.02,5/8/2021,Conglomerates,Severe,57.42,1,Product Governance,Business Ethics,Carbon - Own Operations,66.20,9.81,22.86,21.31,12.22,Moderate,2,Yes,,MSR_High.png,5
Occidental Petroleum Corp,US6745991058,OXY,Active,3,0.95,32.00,Extreme,,,None,,Stable,,No,No,No,No,No,29.68,Fairly Valued,0.97,High,0.26,Moderate,0.22,None,0.10,,-73.89,-35.53,-22.69,-5.67,0.13,"28,506.61",Mid Value,30.54,21.72,32.52,8.52,2.63,2.45,-88.19,-23.75,-14.83,12.50,7.37,18.71,-10.62,-6.64,-29.41,C,,68.70,,-42.73,Energy,Oil & Gas E&P,Energy,,,0P00000412,0C00000BY8,United States,OXY,-23.75,-26.31,25.40,9.69,13.08,16.85,10.11,12.16,1.27,-20.56,-1.48,4.98,-91.71,-94.20,-4.30,19.64,6.20,-2.50,-26.40,1.58,14.17,11.82,19.29,0.02,5/8/2021,Integrated Oil & Gas,High,37.60,2,Carbon - Products and Services,Carbon - Own Operations,"Emissions, Effluents and Waste",72.50,34.90,20.00,10.85,6.75,Moderate,2,Yes,,MSR_AboveAverage.png,4
ViacomCBS Inc,US92556H2067,VIAC,Active,4,0.69,61.00,High,36.60,94.55,Narrow,,Negative,,No,No,Yes,No,No,57.92,Undervalued,1.39,High,0.34,Moderate,0.32,Narrow,0.90,0.22,23.08,10.06,9.86,16.98,2.30,"27,178.68",Mid Value,41.81,8.06,101.97,21.67,1.79,1.65,12.45,10.06,-6.34,-1.60,14.82,122.60,-1.84,-2.02,68.94,D,9.77,13.14,0.95,10.38,Communication Services,Entertainment,Communication Services,,,0P000000XO,0C0000077M,United States,VIAC,10.06,9.18,-50.76,3.64,6.65,10.02,11.46,13.06,20.90,11.90,11.33,24.81,17.27,16.95,27.97,55.60,81.91,27.26,22.55,34.94,18.62,15.65,13.23,0.06,5/8/2021,Broadcasting,Low,16.14,4,Product Governance,Business Ethics,Human Capital,24.50,8.36,0.13,8.33,7.68,Significant,3,Yes,,MSR_Average.png,3
Dorel Industries Inc,CA25822C2058,DII.B,,,,,,,,,,,,,,,,,18.55,Undervalued,1.27,Very High,0.69,Moderate,0.37,None,0.05,0.00,,,,,,474.27,Small Value,14.56,15.01,16.31,5.04,3.03,2.90,0.20,3.54,4.85,2.34,0.58,111.06,,32.84,-23.18,C,19.12,648.48,,4.35,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Discretionary,,,0P0000681D,0C00000B04,Canada,DII.B,3.54,-1.00,9.84,8.23,9.68,8.04,7.49,4.48,0.13,3.29,1.00,3.03,3.58,-8.42,-1.87,-53.11,2.55,-1.08,2.23,-1.67,4.34,8.55,8.71,0.01,,,,,#N/A,,,,,,,,,,,Yes,,MSR_BelowAverage.png,2
Canaccord Genuity Group Inc,CA1348011091,CF,,,,,,,,,,,,,,,,,16.95,Undervalued,1.27,Very High,0.65,Strong,0.88,None,0.22,0.11,40.63,77.84,8.45,0.00,1.69,"1,274.98",Small Blend,13.31,4.47,14.29,5.73,1.40,1.21,,11.93,64.04,25.21,20.57,200.45,66.24,64.97,18.89,D,10.98,27.22,,15.33,Financial Services,Capital Markets,Financials,,,0P00005S3X,0C00000IGC,Canada,CF,11.93,11.93,11.44,-13.87,4.51,7.62,-1.00,-0.90,3.01,-0.87,-27.69,3.17,20.29,27.37,11.06,8.61,0.57,4.90,-50.88,-2.67,4.39,-3.31,-3.07,0.29,5/8/2021,Investment Banking and Brokerage,High,32.78,2,,,,49.35,16.57,,,,Low,1,Yes,,MSR_Low.png,1
Turquoise Hill Resources Ltd,CA9004352071,TRQ,,,,,,,,,,,,,,,,,21.86,Undervalued,1.09,Very High,0.73,Moderate,0.24,None,0.14,0.00,,,,,,"4,026.64",Mid Value,20.01,0.10,26.45,8.90,2.07,1.96,17.46,4.33,-7.53,4.69,-7.99,,,-29.73,2.43,C,5.96,20.87,,18.15,Basic Materials,Copper,Materials,,,0P0000683Z,0C00000BMF,Canada,TRQ,4.33,2.91,-33.77,-24.83,-10.97,-15.95,-6.26,-1.14,0.41,3.76,2.11,1.35,6.28,4.33,-1.63,4.51,2.06,2.44,3.75,0.38,-1.87,-7.65,-18.05,0.02,5/8/2021,Diversified Metals Mining,Severe,43.39,1,,,,75.48,32.09,,,,Moderate,2,Yes,,,
TMX Group Ltd,CA87262K1057,X,,,,,,,,,,,,,,,,,123.50,Overvalued,0.92,High,0.18,Strong,0.75,Narrow,0.93,0.51,7.94,11.73,11.20,5.85,2.14,"7,560.68",Mid Blend,134.29,1.50,144.97,120.13,0.62,0.67,44.94,7.05,7.21,8.95,3.83,20.04,13.20,14.10,3.73,C,24.71,21.76,,4.00,Financial Services,Financial Data & Stock Exchanges,Financials,,,0P0000X1KA,0C00009EOP,Canada,X,7.05,6.58,24.35,8.43,16.70,-7.14,2.44,4.83,3.21,-0.61,5.67,9.16,8.50,7.87,7.20,8.71,12.06,6.88,-1.84,3.47,4.34,1.08,-7.15,0.03,5/8/2021,Financial Exchanges and Data Services,Low,18.56,4,Data Privacy and Security,Business Ethics,Human Capital,30.70,12.14,1.59,8.33,8.64,Low,1,Yes,,,
Gran Tierra Energy Inc,US38500T1016,GTE,Under Review,,,,Extreme,,,None,,Negative,,No,No,No,No,No,1.15,Undervalued,1.28,Extreme,0.90,Weak,0.15,None,0.03,0.00,,,,,,330.28,Small Value,0.90,8.43,1.55,0.25,2.88,2.72,-358.80,-40.75,-58.35,-17.38,-2.93,,,-24.67,-33.60,D,,64.73,,-207.17,Energy,Oil & Gas E&P,Energy,,,0P0000IZ8G,0C00000YQK,Canada,GTE,-40.75,-52.97,5.22,1.64,4.27,12.24,7.99,9.16,-12.82,-23.62,-40.91,-2.22,-112.56,-120.65,3.75,10.44,-3.53,-50.04,-23.53,-12.66,9.28,8.08,12.32,0.12,5/8/2021,Oil & Gas Exploration and Production,High,34.27,2,,,,74.55,40.28,,,,Low,1,Yes,,,
Lincoln National Corp,US5341871094,LNC,,,,,,,,None,,,,,,,,,69.54,Fairly Valued,1.04,High,0.21,Moderate,0.41,None,0.02,0.47,8.11,22.52,8.79,34.93,2.44,"12,789.27",Mid Value,67.18,-4.64,71.68,29.42,2.27,2.26,2.43,,1.05,6.95,5.14,,-12.16,-12.16,14.11,D,20.05,11.12,,5.18,Financial Services,Insurance - Life,Financials,,,0P000003B0,0C00000844,United States,LNC,,,,,,,,,,,,,3.72,2.35,5.21,10.36,13.08,8.49,7.86,10.38,8.75,9.35,1.71,0.34,5/8/2021,Life and Health Insurance,Low,17.74,4,Data Privacy and Security,Product Governance,Business Ethics,38.90,20.96,1.81,7.36,8.76,Moderate,2,Yes,,,
Equitable Group Inc,CA2945051027,EQB,,,,,,,,,,,,,,,,,161.05,Undervalued,1.20,Very High,0.55,Strong,0.91,None,0.62,0.10,14.73,15.93,14.26,13.98,1.10,"2,277.19",Mid Value,134.27,-12.30,153.80,66.00,1.69,1.57,53.96,,12.02,16.81,16.54,3.42,4.07,5.93,13.02,,9.07,7.19,,11.51,Financial Services,Mortgage Finance,Financials,,,0P00005S3M,0C00000I9O,Canada,EQB,,,,,,,,,,,,,17.29,14.77,15.51,14.15,15.82,16.41,17.88,17.44,18.11,18.67,16.47,,5/8/2021,Thrifts and Mortgages,Medium,22.04,3,Product Governance,ESG Integration - Financials,Data Privacy and Security,37.00,14.96,3.36,10.31,8.37,None,0,,,,
