,bbg_id
0,/bbgid/BBG000V9Z220
1,/bbgid/BBG000C4PLF7
2,/bbgid/BBG000C08FW8
3,/bbgid/BBG000BSYVL6
4,/bbgid/BBG000BKQ254
5,/bbgid/BBG00JM2HN46
6,/bbgid/BBG001LV74X3
7,/bbgid/BBG000BNY197
8,/bbgid/BBG000BC9377
9,/bbgid/BBG000F8D4C9
10,/bbgid/BBG000BKCFC2
11,/bbgid/BBG000DN7P92
12,/bbgid/BBG000CHXVD9
13,/bbgid/BBG000PT6BR8
14,/bbgid/BBG006MC4LP7
15,/bbgid/BBG000VGZPL2
16,/bbgid/BBG000C2BXK4
17,/bbgid/BBG000F31Z34
18,/bbgid/BBG000C3ZNH2
19,/bbgid/BBG000KT0GV3
20,/bbgid/BBG000BBKH66
21,/bbgid/BBG000BJ5HK0
22,/bbgid/BBG000BZC425
23,/bbgid/BBG000BF6VR9
24,/bbgid/BBG000BXWZL8
25,/bbgid/BBG000BRCHB4
26,/bbgid/BBG000CZWZ87
27,/bbgid/BBG000C4PJP1
28,/bbgid/BBG000GPX4X5
29,/bbgid/BBG000M6TR37
30,/bbgid/BBG000VZHLL9
31,/bbgid/BBG000QM53N5
32,/bbgid/BBG000BYMDW4
33,/bbgid/BBG000BCM8B6
34,/bbgid/BBG00G7D6C05
35,/bbgid/BBG000BZCN41
36,/bbgid/BBG000BMBL90
37,/bbgid/BBG000BWLMJ4
38,/bbgid/BBG000K5DS81
39,/bbgid/BBG000D52545
40,/bbgid/BBG001SN4ZP7
41,/bbgid/BBG000BXXT68
42,/bbgid/BBG000BFG2J1
43,/bbgid/BBG000BHJZF5
44,/bbgid/BBG00GTWPCQ0
45,/bbgid/BBG000KBRG25
46,/bbgid/BBG000BFDLV8
47,/bbgid/BBG000BYL295
48,/bbgid/BBG000C55NZ0
49,/bbgid/BBG004S69ZX4
50,/bbgid/BBG000FT9C03
51,/bbgid/BBG000D3FY25
52,/bbgid/BBG000FG1WB3
53,/bbgid/BBG000BTDHV7
54,/bbgid/BBG000BJS6V7
55,/bbgid/BBG000BPNMV3
56,/bbgid/BBG00161BCR0
57,/bbgid/BBG000BLSXG0
58,/bbgid/BBG000G12J78
