,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2019-11-27,0.01,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-14,/bbgid/BBG0025CGG82
0,2019-10-22,0.7,Quarter,Regular Cash,2019-12-12,2020-01-01,2019-12-13,/bbgid/BBG000BQ74K1
0,2019-10-24,0.63,Quarter,Regular Cash,2019-12-12,2019-12-30,2019-12-13,/bbgid/BBG000CKGBP2
0,2019-11-07,0.1,Monthly,Regular Cash,2019-12-30,2020-01-10,2019-12-31,/bbgid/BBG00JVRRQF1
0,2019-11-13,0.315,Quarter,Regular Cash,2019-12-12,2019-12-30,2019-12-15,/bbgid/BBG000BZC425
0,2019-11-14,0.0275,Quarter,Regular Cash,2019-12-27,2020-01-16,2019-12-30,/bbgid/BBG000GPX4X5
0,2019-11-25,0.0187,Semi-Anl,Special Cash,2019-12-05,2019-12-12,2019-12-06,/bbgid/BBG000V9Z220
0,2019-11-26,0.2,Quarter,Regular Cash,2019-12-05,2019-12-16,2019-12-06,/bbgid/BBG000C4PLF7
0,2019-12-03,0.095,Monthly,Regular Cash,2019-12-18,2020-01-02,2019-12-19,/bbgid/BBG001LV74X3
0,2019-11-07,0.18,Quarter,Regular Cash,2019-12-13,2020-01-06,2019-12-16,/bbgid/BBG000BL7GB5
0,2019-11-13,0.21,Quarter,Regular Cash,2020-01-08,2020-01-23,2020-01-09,/bbgid/BBG000BBVDT8
0,2019-11-04,0.41,Quarter,Regular Cash,2019-12-18,2020-01-03,2019-12-19,/bbgid/BBG000V86JM5
0,2019-10-22,0.36,Quarter,Regular Cash,2019-12-05,2019-12-31,2019-12-06,/bbgid/BBG004S69ZX4
0,2019-12-02,0.625,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG0027Z6X10
0,2019-12-02,0.02,Quarter,Regular Cash,2019-12-12,2020-01-02,2019-12-13,/bbgid/BBG000FYLYF4
0,2019-11-05,0.19,Quarter,Regular Cash,2019-12-19,2020-01-03,2019-12-20,/bbgid/BBG000VZHLL9
0,2019-11-07,1.25,Quarter,Regular Cash,2019-12-30,2020-01-17,2019-12-31,/bbgid/BBG000BYMDW4
0,2019-12-03,0.105,Quarter,Regular Cash,2019-12-13,2019-12-26,2019-12-16,/bbgid/BBG00G7D6C05
0,2019-10-28,1.07,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BMBL90
0,2019-10-29,0.3,Quarter,Regular Cash,2019-12-11,2019-12-26,2019-12-12,/bbgid/BBG00161BCR0
0,2019-10-24,0.15,Quarter,Regular Cash,2019-12-17,2020-01-02,2019-12-18,/bbgid/BBG000BKWSR6
0,2019-12-05,1.44,Quarter,Regular Cash,2019-12-24,2020-01-28,2019-12-27,/bbgid/BBG000BY34Q2
0,2019-11-26,0.25,Quarter,Regular Cash,2019-12-12,2020-01-02,2019-12-13,/bbgid/BBG000BY1L13
0,2019-11-14,0.065,Quarter,Regular Cash,2019-12-30,2020-01-16,2019-12-31,/bbgid/BBG000NC6RS1
0,2019-11-19,0.068125,Quarter,Regular Cash,2019-12-05,2020-01-02,2019-12-06,/bbgid/BBG000BVNVQ6
0,2019-11-26,0.1,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000D9HD17
0,2019-11-25,0.08,Quarter,Regular Cash,2019-12-31,2020-01-23,2020-01-02,/bbgid/BBG000CGM9H8
0,2019-10-23,0.185,Quarter,Regular Cash,2019-12-12,2020-01-02,2019-12-13,/bbgid/BBG000D3MJP5
0,2019-11-06,0.0025,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000CTV5F0
0,2019-12-04,0.47,Quarter,Regular Cash,2019-12-16,2020-01-15,2019-12-17,/bbgid/BBG000BHKYH4
0,2019-11-05,0.33,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000GCSWR5
0,2019-11-06,0.06,Monthly,Regular Cash,2020-01-30,2020-02-20,2020-01-31,/bbgid/BBG000Q3RGN4
1,2019-11-06,0.06,Monthly,Regular Cash,2019-12-31,2020-01-23,2020-01-02,/bbgid/BBG000Q3RGN4
0,2019-11-21,0.5,Annual,Regular Cash,2019-12-05,2019-12-16,2019-12-06,/bbgid/BBG000BB3X33
0,2019-11-05,0.39,Quarter,Regular Cash,2019-12-12,2020-01-15,2019-12-13,/bbgid/BBG001DFW799
0,2019-11-12,0.085,Quarter,Regular Cash,2020-01-17,2020-01-31,2020-01-20,/bbgid/BBG000MRCDJ3
0,2019-10-30,0.5,Quarter,Regular Cash,2019-12-31,2020-01-10,2020-01-02,/bbgid/BBG0038V5TX1
0,2019-11-18,0.49,Quarter,Regular Cash,2020-01-09,2020-02-03,2020-01-10,/bbgid/BBG000BKCFC2
0,2019-12-04,0.575,Quarter,Regular Cash,2019-12-30,2020-01-31,2019-12-31,/bbgid/BBG000DN7P92
0,2019-09-26,0.2,Quarter,Regular Cash,2019-12-17,2019-12-30,2019-12-18,/bbgid/BBG006MC4LP7
0,2019-10-30,0.13,Quarter,Regular Cash,2019-12-09,2019-12-16,2019-12-10,/bbgid/BBG000C2BXK4
0,2019-10-17,0.16,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000F31Z34
0,2019-12-05,0.2125,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG000KT0GV3
0,2019-12-04,0.2,Monthly,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BS6M19
0,2019-11-21,0.14,Quarter,Regular Cash,2019-12-09,2019-12-20,2019-12-10,/bbgid/BBG000BGS5H1
0,2019-11-20,0.07,Quarter,Regular Cash,2019-12-12,2020-01-02,2019-12-13,/bbgid/BBG000RMQZS5
0,2019-12-05,0.78,Quarter,Regular Cash,2019-12-19,2020-01-06,2019-12-20,/bbgid/BBG000BB5792
0,2019-11-26,1.3,Quarter,Regular Cash,2020-01-16,2020-02-05,2020-01-17,/bbgid/BBG000BF33K1
0,2019-12-03,1.06,Quarter,Regular Cash,2020-01-31,2020-02-26,2020-02-03,/bbgid/BBG000BXSQ97
0,2019-10-30,0.38,Quarter,Regular Cash,2019-12-05,2019-12-26,2019-12-06,/bbgid/BBG000BK28N7
0,2019-12-03,0.3,Quarter,Regular Cash,2020-01-09,2020-01-24,2020-01-10,/bbgid/BBG000BD9525
1,2019-12-03,1.25,None,Special Cash,2020-01-09,2020-01-24,2020-01-10,/bbgid/BBG000BD9525
0,2019-11-13,0.7,Quarter,Regular Cash,2019-12-05,2019-12-31,2019-12-06,/bbgid/BBG000BN1M88
0,2019-11-21,0.15,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000DLWWK0
0,2019-10-24,0.06,Quarter,Regular Cash,2019-12-09,2019-12-17,2019-12-10,/bbgid/BBG000BHH8K1
0,2019-10-23,0.77,Quarter,Regular Cash,2019-12-16,2019-12-26,2019-12-17,/bbgid/BBG000JWD753
0,2019-11-27,0.7,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG003MSMCS6
0,2019-10-24,0.38,Quarter,Regular Cash,2019-12-12,2020-01-01,2019-12-15,/bbgid/BBG000F4J227
