,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2020-07-16,0.08,Quarter,Regular Cash,2020-08-13,2020-08-28,2020-08-14,/bbgid/BBG000BDRR63
1,2020-03-12,0.125,Quarter,Regular Cash,2020-08-13,2020-08-28,2020-08-14,/bbgid/BBG000BDRR63
2,2020-01-16,0.125,Quarter,Regular Cash,2020-02-13,2020-02-28,2020-02-14,/bbgid/BBG000BDRR63
3,2019-10-10,0.125,Quarter,Regular Cash,2019-11-14,2019-11-29,2019-11-15,/bbgid/BBG000BDRR63
4,2019-07-18,0.125,Quarter,Regular Cash,2019-08-15,2019-08-30,2019-08-16,/bbgid/BBG000BDRR63
5,2019-03-07,0.125,Quarter,Regular Cash,2019-05-16,2019-05-31,2019-05-17,/bbgid/BBG000BDRR63
6,2019-01-16,0.125,Quarter,Regular Cash,2019-02-14,2019-03-01,2019-02-15,/bbgid/BBG000BDRR63
7,2018-10-04,0.125,Quarter,Regular Cash,2018-11-08,2018-11-23,2018-11-09,/bbgid/BBG000BDRR63
8,2018-07-12,0.125,Quarter,Regular Cash,2018-08-09,2018-08-24,2018-08-10,/bbgid/BBG000BDRR63
9,2018-03-08,0.11,Quarter,Regular Cash,2018-05-10,2018-05-25,2018-05-11,/bbgid/BBG000BDRR63
10,2018-01-11,0.11,Quarter,Regular Cash,2018-02-08,2018-02-23,2018-02-09,/bbgid/BBG000BDRR63
11,2017-11-07,0.35,None,Special Cash,2017-11-30,2017-12-15,2017-12-01,/bbgid/BBG000BDRR63
12,2017-10-05,0.11,Quarter,Regular Cash,2017-11-09,2017-11-24,2017-11-10,/bbgid/BBG000BDRR63
13,2017-07-13,0.11,Quarter,Regular Cash,2017-08-09,2017-08-25,2017-08-11,/bbgid/BBG000BDRR63
14,2017-03-09,0.1,Quarter,Regular Cash,2017-05-10,2017-05-26,2017-05-12,/bbgid/BBG000BDRR63
15,2017-01-12,0.1,Quarter,Regular Cash,2017-02-08,2017-02-24,2017-02-10,/bbgid/BBG000BDRR63
