fsym_id,bbgid
LRDGCV-R,BBG000C4WJT9
MXT1W0-R,BBG000BC82K5
FK7P9F-R,BBG000BFHDG9
S26JJL-R,BBG000C04224
LY1WZH-R,BBG000JK3CF8
G4DWFZ-R,BBG000FFQP32
VS1X41-R,BBG000FLPRH1
F722C7-R,BBG000BN3P70
KPPLQC-R,BBG000BN8M81
BV8GCC-R,BBG000F15NW9
NWGNS1-R,BBG000C2W0R6
NHX98Q-R,BBG000BH23R1
NRTP90-R,BBG000HX3Y19
FJ4NDH-R,BBG000BSBZH7
MTGSY3-R,BBG000BMT9T6
PB04TQ-R,BBG000BMYS63
NBCKRK-R,BBG000BJPDZ1
FPTQ5Q-R,BBG000C3QN19
HQ4DBK-R,BBG000BQLTW7
SDDH43-R,BBG000BWLMJ4
GRSDSK-R,BBG000B9X8C0
DXVDJ4-R,BBG000KLB4Q1
F3NM78-R,BBG000BFTJ91
J2MW73-R,BBG000L4M7F1
LRHQLX-R,BBG000BH6360
T2T0MT-R,BBG000BQY1C6
DNY1KW-R,BBG000BQTMJ9
G4H6X5-R,BBG000DST2V3
QP3LLV-R,BBG000JYP7L8
M09N42-R,BBG000BJGVY2
M9DGHF-R,BBG000BPT0C6
VT66G5-R,BBG000BCG930
JKGP5M-R,BBG000C1FB75
K6VMFP-R,BBG000BNXLK1
TLY9TB-R,BBG000BVPML9
TJG1FT-R,BBG000BWXL85
S4J8BX-R,BBG000BJBZ23
BNLKX9-R,BBG000BW0R88
CFF3GD-R,BBG000DVN6P0
VQYTRP-R,BBG00658F3P3
KV0K62-R,BBG000BRWGG9
FDS65G-R,BBG000Q3JN03
J9D5DJ-R,BBG000FY4MZ7
HD1PZ3-R,BBG000BDF0T0
FH1NKL-R,BBG000BN5HF7
Q7WZWY-R,BBG00688QWF5
M0G2G3-R,BBG000BSL2D3
NX4S4Z-R,BBG000CVZFH7
MYMJL1-R,BBG000CQ4LR8
X7K4SJ-R,BBG000BG5X85
R998SY-R,BBG000BQQ2S6
MJCGG4-R,BBG000BLHRS2
C8WRSP-R,BBG000BQ6S47
CD4N6C-R,BBG000BK1WF4
KT2P3Z-R,BBG000BWCC88
C8XJ7D-R,BBG000BRDSX5
MH33D6-R,BBG000B9XRY4
Q9J1WF-R,BBG000BL6888
QSDQCP-R,BBG000BWVCP8
V75BKP-R,BBG000BHB3M6
VQXR21-R,BBG000BHBK84
B2G10C-R,BBG000BT2TP0
CWRF0J-R,BBG002BHBHM1
MS57L1-R,BBG000KHWT55
HMZXK5-R,BBG000C5CCM0
C1Y5MC-R,BBG000BTVX24
WDG05S-R,BBG006Q0HY77
HVV49B-R,BBG000BR37X2
BV8JHF-R,BBG000BC4JJ4
G25H2V-R,BBG000BFZ1K0
GRRPDW-R,BBG000BPX9M1
TNZ6CZ-R,BBG000N2HDY5
BPRHF0-R,BBG000BHGDH5
P5F9DQ-R,BBG000BLCL55
KNKLZJ-R,BBG000BRY7Q6
JKDM7P-R,BBG000BMFFQ0
FZRL7K-R,BBG000BB8SW7
M67VFY-R,BBG000BCZL41
BFSY5M-R,BBG000BNJHS8
CN7T72-R,BBG000GXZ4W7
G5JHGG-R,BBG000BCY3R7
HN195G-R,BBG000C101X4
W4H2MF-R,BBG000BW7VG3
D9GFG8-R,BBG000FM9WC1
WFMVVR-R,BBG000F5VVB6
SJS2RC-R,BBG000BKL348
FCK6QT-R,BBG000QY3XZ2
LQCGBT-R,BBG000F63ZX2
FV800K-R,BBG000BTN971
QXSZ7K-R,BBG000BW5YW1
VDT2VP-R,BBG000J0D904
HR1WTF-R,BBG000F5L6S4
V3Q5PM-R,BBG0064N0ZZ5
TMW1M9-R,BBG000BTHGC6
PN37ZK-R,BBG000BHPL78
GM3DBL-R,BBG00FWQ4VD6
