port_id,rdate,p_close,daily_return
BG001,9/1/2009,100,
BG001,9/2/2009,99.4943,-0.005057
BG001,9/3/2009,100.8277,0.013401773
BG001,9/4/2009,102.557,0.017151041
BG001,9/7/2009,102.557,0
BG001,9/8/2009,103.6962,0.011107969
BG001,9/9/2009,104.5241,0.007983899
BG001,9/10/2009,105.5994,0.01028758
BG001,9/11/2009,105.6376,0.000361744
BG001,9/14/2009,106.6205,0.009304452
BG001,9/15/2009,107.5386,0.008610914
BG001,9/16/2009,109.4409,0.017689462
BG001,9/17/2009,108.8523,-0.005378245
BG001,9/18/2009,108.8206,-0.00029122
BG001,9/21/2009,108.2574,-0.005175491
BG001,9/22/2009,109.4617,0.011124413
BG001,9/23/2009,107.7726,-0.015430968
BG001,9/24/2009,105.96,-0.016818746
BG001,9/25/2009,105.1229,-0.007900151
BG001,9/28/2009,106.6543,0.014567711
BG001,9/29/2009,106.5229,-0.001232018
BG001,9/30/2009,106.9439,0.003952202
BG001,10/1/2009,104.0241,-0.027302165
BG001,10/2/2009,103.3671,-0.006315844
BG001,10/5/2009,105.5439,0.021058925
BG001,10/6/2009,107.3091,0.016724794
BG001,10/7/2009,107.4586,0.001393172
BG001,10/8/2009,109.5565,0.019522867
BG001,10/9/2009,110.5134,0.008734306
BG001,10/12/2009,111.0738,0.005070878
BG001,10/13/2009,110.9936,-0.000722042
BG001,10/14/2009,113.3747,0.021452588
BG001,10/15/2009,114.3181,0.00832108
BG001,10/16/2009,113.7126,-0.005296624
BG001,10/19/2009,115.3017,0.013974705
BG001,10/20/2009,114.8316,-0.00407713
BG001,10/21/2009,113.8268,-0.008750205
BG001,10/22/2009,114.5314,0.006190106
BG001,10/23/2009,112.109,-0.021150532
BG001,10/26/2009,110.8422,-0.011299717
BG001,10/27/2009,109.9532,-0.008020411
BG001,10/28/2009,106.8214,-0.028483027
BG001,10/29/2009,109.31,0.02329683
BG001,10/30/2009,105.8861,-0.031322843
BG001,11/2/2009,106.7191,0.007866944
BG001,11/3/2009,108.1631,0.013530849
BG001,11/4/2009,108.6138,0.004166855
BG001,11/5/2009,109.9911,0.012680709
BG001,11/6/2009,110.2315,0.002185631
BG001,11/9/2009,112.8395,0.023659299
BG001,11/10/2009,112.7297,-0.000973064
BG001,11/11/2009,113.0601,0.002930905
BG001,11/12/2009,111.3537,-0.015092858
BG001,11/13/2009,111.729,0.003370342
BG001,11/16/2009,113.8319,0.018821434
BG001,11/17/2009,113.8504,0.00016252
BG001,11/18/2009,113.078,-0.006784342
BG001,11/19/2009,111.1029,-0.017466704
BG001,11/20/2009,110.7788,-0.002917116
BG001,11/23/2009,111.9231,0.010329594
BG001,11/24/2009,111.8259,-0.000868453
BG001,11/25/2009,112.8457,0.009119533
BG001,11/26/2009,112.8457,0
BG001,11/27/2009,110.7876,-0.018238178
BG001,11/30/2009,110.879,0.000825002
BG001,12/1/2009,112.5188,0.014789094
BG001,12/2/2009,112.0843,-0.003861577
BG001,12/3/2009,110.7972,-0.011483321
BG001,12/4/2009,111.2041,0.003672475
BG001,12/7/2009,111.6057,0.003611378
BG001,12/8/2009,110.4701,-0.010175108
BG001,12/9/2009,110.5957,0.001136959
BG001,12/10/2009,111.5964,0.009048272
BG001,12/11/2009,111.941,0.003087913
BG001,12/14/2009,113.0359,0.009781045
BG001,12/15/2009,112.833,-0.001795005
BG001,12/16/2009,112.6639,-0.001498675
BG001,12/17/2009,111.2865,-0.012225744
BG001,12/18/2009,111.5964,0.002784704
BG001,12/21/2009,112.7355,0.010207319
BG001,12/22/2009,112.8011,0.000581893
BG001,12/23/2009,113.2169,0.003686134
BG001,12/24/2009,113.4631,0.002174587
BG001,12/25/2009,113.4631,0
BG001,12/28/2009,113.8242,0.003182532
BG001,12/29/2009,114.0407,0.001902056
BG001,12/30/2009,113.9856,-0.000483161
BG001,12/31/2009,112.7998,-0.010403068
BG001,1/1/2010,112.7998,0
BG001,1/4/2010,114.2837,0.013155165
BG001,1/5/2010,114.7499,0.004079322
BG001,1/6/2010,114.8112,0.000534205
BG001,1/7/2010,115.4174,0.005279973
BG001,1/8/2010,116.0954,0.005874331
BG001,1/11/2010,116.4638,0.003173252
BG001,1/12/2010,115.917,-0.004695021
BG001,1/13/2010,116.8975,0.008458639
BG001,1/14/2010,117.0745,0.001514147
BG001,1/15/2010,115.996,-0.009212083
BG001,1/18/2010,115.996,0
BG001,1/19/2010,117.1839,0.01024087
BG001,1/20/2010,115.8651,-0.011254106
BG001,1/21/2010,114.3285,-0.013261974
BG001,1/22/2010,112.6171,-0.014969146
BG001,1/25/2010,113.527,0.00807959
BG001,1/26/2010,113.6153,0.000777789
BG001,1/27/2010,113.5956,-0.000173392
BG001,1/28/2010,112.1116,-0.013063886
BG001,1/29/2010,111.0093,-0.009832167
BG001,2/1/2010,112.9821,0.017771484
BG001,2/2/2010,114.486,0.013310958
BG001,2/3/2010,113.9163,-0.004976154
BG001,2/4/2010,110.6481,-0.028689485
BG001,2/5/2010,110.2905,-0.003231868
BG001,2/8/2010,109.5021,-0.007148394
BG001,2/9/2010,111.0244,0.013902016
BG001,2/10/2010,110.6488,-0.00338304
BG001,2/11/2010,111.8904,0.011221089
BG001,2/12/2010,111.5347,-0.003179004
BG001,2/15/2010,111.5347,0
BG001,2/16/2010,113.2474,0.015355759
BG001,2/17/2010,114.0872,0.007415623
BG001,2/18/2010,114.9366,0.007445182
BG001,2/19/2010,115.3805,0.003862129
BG001,2/22/2010,115.3617,-0.000162939
BG001,2/23/2010,114.3977,-0.008356326
BG001,2/24/2010,115.25,0.007450325
BG001,2/25/2010,115.1896,-0.000524078
BG001,2/26/2010,115.1018,-0.000762222
BG001,3/1/2010,116.2129,0.009653194
BG001,3/2/2010,116.5031,0.002497141
BG001,3/3/2010,116.476,-0.000232612
BG001,3/4/2010,116.7006,0.001928294
BG001,3/5/2010,117.9905,0.011053071
BG001,3/8/2010,117.9066,-0.000711074
BG001,3/9/2010,118.1561,0.002116082
BG001,3/10/2010,118.6603,0.004267236
BG001,3/11/2010,119.0797,0.003534459
BG001,3/12/2010,118.9154,-0.001379748
BG001,3/15/2010,119.4513,0.004506565
BG001,3/16/2010,120.21,0.006351542
BG001,3/17/2010,120.8714,0.005502038
BG001,3/18/2010,121.4858,0.005083088
BG001,3/19/2010,120.6946,-0.006512695
BG001,3/22/2010,121.4096,0.005924043
BG001,3/23/2010,121.7853,0.003094483
BG001,3/24/2010,120.8158,-0.007960731
BG001,3/25/2010,120.6016,-0.001772947
BG001,3/26/2010,120.7529,0.001254544
BG001,3/29/2010,121.5565,0.006654913
BG001,3/30/2010,121.9646,0.003357287
BG001,3/31/2010,121.3624,-0.004937498
BG001,4/1/2010,122.0514,0.005677211
BG001,4/2/2010,122.0514,0
BG001,4/5/2010,123.006,0.007821295
BG001,4/6/2010,122.701,-0.002479554
BG001,4/7/2010,122.1473,-0.004512596
BG001,4/8/2010,122.6032,0.003732379
BG001,4/9/2010,123.5584,0.007790988
BG001,4/12/2010,123.6148,0.000456464
BG001,4/13/2010,123.6937,0.000638273
BG001,4/14/2010,124.1679,0.003833663
BG001,4/15/2010,124.3014,0.001075157
BG001,4/16/2010,122.9825,-0.0106105
BG001,4/19/2010,123.4898,0.004124977
BG001,4/20/2010,124.7331,0.010068038
BG001,4/21/2010,125.0871,0.00283806
BG001,4/22/2010,126.0154,0.007421229
BG001,4/23/2010,126.6493,0.005030338
BG001,4/26/2010,126.3227,-0.002578775
BG001,4/27/2010,123.7805,-0.020124649
BG001,4/28/2010,123.7846,3.31E-05
BG001,4/29/2010,125.741,0.015804874
BG001,4/30/2010,123.6462,-0.016659642
BG001,5/3/2010,125.2775,0.013193289
BG001,5/4/2010,122.4788,-0.022340005
BG001,5/5/2010,121.9503,-0.004315032
BG001,5/6/2010,118.6153,-0.027347206
BG001,5/7/2010,116.1671,-0.020639833
BG001,5/10/2010,121.4795,0.045730676
BG001,5/11/2010,121.0391,-0.003625303
BG001,5/12/2010,122.7982,0.01453332
BG001,5/13/2010,121.1724,-0.013239608
BG001,5/14/2010,119.1038,-0.017071544
BG001,5/17/2010,119.5363,0.003631286
BG001,5/18/2010,118.2929,-0.010401861
BG001,5/19/2010,117.2031,-0.009212725
BG001,5/20/2010,113.0407,-0.035514419
BG001,5/21/2010,114.7543,0.015159142
BG001,5/24/2010,113.5712,-0.010309853
BG001,5/25/2010,113.7769,0.001811199
BG001,5/26/2010,113.0666,-0.006242919
BG001,5/27/2010,115.6743,0.023063398
BG001,5/28/2010,114.4414,-0.010658374
BG001,5/31/2010,114.4414,0
BG001,6/1/2010,112.5862,-0.016210917
BG001,6/2/2010,115.4421,0.025366342
BG001,6/3/2010,115.8298,0.003358394
BG001,6/4/2010,111.7299,-0.0353959
BG001,6/7/2010,109.7821,-0.017433113
BG001,6/8/2010,110.7139,0.008487722
BG001,6/9/2010,110.505,-0.001886845
BG001,6/10/2010,113.5775,0.027804172
BG001,6/11/2010,114.1377,0.004932315
BG001,6/14/2010,114.3343,0.001722481
BG001,6/15/2010,116.777,0.021364542
BG001,6/16/2010,116.6082,-0.00144549
BG001,6/17/2010,116.619,9.26E-05
BG001,6/18/2010,116.7802,0.001382279
BG001,6/21/2010,116.2406,-0.004620646
BG001,6/22/2010,114.0574,-0.018781734
BG001,6/23/2010,113.7416,-0.002768781
BG001,6/24/2010,111.5266,-0.019473966
BG001,6/25/2010,111.3966,-0.001165641
BG001,6/28/2010,111.8705,0.004254169
BG001,6/29/2010,108.6804,-0.028516007
BG001,6/30/2010,107.9201,-0.006995742
BG001,7/1/2010,108.0557,0.001256485
BG001,7/2/2010,107.5653,-0.0045384
BG001,7/5/2010,107.5653,0
BG001,7/6/2010,107.4748,-0.000841349
BG001,7/7/2010,110.3657,0.026898399
BG001,7/8/2010,111.341,0.008836985
BG001,7/9/2010,111.8509,0.004579625
BG001,7/12/2010,112.0808,0.002055415
BG001,7/13/2010,113.6677,0.014158536
BG001,7/14/2010,114.0921,0.00373369
BG001,7/15/2010,114.4031,0.002725868
BG001,7/16/2010,111.4361,-0.025934612
BG001,7/19/2010,111.6562,0.001975123
BG001,7/20/2010,113.2438,0.014218646
BG001,7/21/2010,111.6238,-0.014305419
BG001,7/22/2010,113.3125,0.015128494
BG001,7/23/2010,114.6115,0.011463872
BG001,7/26/2010,115.5503,0.00819115
BG001,7/27/2010,114.6835,-0.007501495
BG001,7/28/2010,114.5012,-0.001589592
BG001,7/29/2010,114.0889,-0.003600836
BG001,7/30/2010,114.4952,0.003561258
BG001,8/2/2010,116.702,0.01927417
BG001,8/3/2010,116.112,-0.005055612
BG001,8/4/2010,117.1401,0.008854382
BG001,8/5/2010,117.4392,0.002553353
BG001,8/6/2010,117.2384,-0.001709821
BG001,8/9/2010,117.7804,0.004623059
BG001,8/10/2010,116.9626,-0.00694343
BG001,8/11/2010,113.6191,-0.028586061
BG001,8/12/2010,113.0896,-0.004660308
BG001,8/13/2010,112.5435,-0.004828914
BG001,8/16/2010,112.4939,-0.000440718
BG001,8/17/2010,114.3499,0.016498672
BG001,8/18/2010,114.5399,0.001661567
BG001,8/19/2010,112.5062,-0.017755385
BG001,8/20/2010,112.1947,-0.002768736
BG001,8/23/2010,111.9275,-0.002381574
BG001,8/24/2010,109.5616,-0.02113779
BG001,8/25/2010,109.9031,0.003116968
BG001,8/26/2010,109.4508,-0.004115444
BG001,8/27/2010,111.0919,0.014993952
BG001,8/30/2010,109.5951,-0.01347353
