security,bbgid,name,sedol,isin,cusip
0609237D CT Equity,BBG000BTDMT9,TMX GROUP INC,2061920,CA87261X1087,87261X108
0623680D CT Equity,BBG000CXJ6K7,PETROBAKKEN DEVELOPMENT LTD,2593586,CA89677E1043,89677E104
0649942D CT Equity,BBG000BBFKK9,REAL RESOURCES INC,,CA7559022024,755902202
0701623D CT Equity,BBG000KQ8Y15,TLC VISION CORP,2893048,CA8725491002,872549100
0814429D CT Equity,BBG000J7WQ46,GSI GROUP INC,2403685,CA36229U1021,36229U102
0888820D CT Equity,BBG000GFSNC4,INEX PHARMACEUTICALS CORP,2451639,CA4499221030,449922103
1294096D CT Equity,BBG000PNM435,ALAMOS GOLD INC,2411707,CA0115271086,011527108
1341836D CT Equity,BBG000BCW825,TRANSAT A.T. INC,2369538,CA89351T1049,89351T104
1389726D CT Equity,BBG000BCT874,TIMMINCO LTD,2195380,CA8874041012,887404101
1397980D CT Equity,BBG000C89JW2,TURBO POWER SYSTEMS INC,2720403,CA8999101030,899910103
1445600D CT Equity,BBG000CS7765,BOLIDEN AB,B1XMDD3,SE0000869646,
1482874D CT Equity,BBG000BPXZW2,ITERATION ENERGY LTD,2948681,CA46564U1049,46564U104
1641774D CT Equity,BBG000Q5FZH7,COLOSSUS MINERALS INC,B2PLW72,CA19681L1094,19681L109
1787873D CT Equity,BBG00226ML17,POSEIDON CONCEPTS CORP,B63VJ04,CA73731R1038,73731R103
2266620Q CT Equity,BBG000BTTQF8,ULTRA PETROLEUM CORP,2909310,CA9039141093,903914109
2818750Q CT Equity,BBG000K1WWV4,LIONS GATE ENTERTAINMENT COR,2312684,CA5359192039,535919203
297187Q CT Equity,BBG000JKT299,STORM ENERGY INC,2403113,CA8619182097,861918209
330950Q CT Equity,BBG000BD80Y2,LPBP INC-A,2420974,CA5021181022,502118102
614858Q CT Equity,BBG000L88N81,ANDERSON EXPLORATION LTD,,CA0339011094,033901109
8130871Q CN Equity,BBG000BRYWT8,BAYTEX ENERGY LTD,2085599,CA07317G1072,07317G107
ACE/A CT Equity,BBG000Q8V1W1,ACE AVIATION HOLDINGS INC-A,B031P71,CA00440P2017,00440P201
ACE/B CT Equity,BBG000BVJJH8,ACE AVIATION HOLDINGS INC-B,B031P48,CA00440P1027,00440P102
AIT CT Equity,BBG000BBP9F9,ALIANT INC,2424512,CA01609F1099,01609F109
BPP CT Equity,BBG000BW2BS9,BPO PROPERTIES LTD,2412302,CA05565B1013,05565B101
CGS CT Equity,BBG000DXV908,2737469 CANADA INC,2166751,CA1389061021,138906102
CJB CT Equity,BBG000CRJ1X7,CONJUCHEM BIOTECHNOLOGIES IN,B40FFL8,CA2073481038,207348103
CNE-U CT Equity,BBG000QRR0M7,CANETIC RESOURCES TRUST,B0W1X56,CA1375131077,137513107
CRW-U CT Equity,BBG000BYC6N0,CINRAM INTERNATIONAL INCOME,B137X49,CA1725951000,172595100
FPS CT Equity,BBG000BY0ZD0,FRASER PAPERS INC,B01R8D8,CA3555211059,355521105
FRG CT Equity,BBG000BBGP18,FRONTEER GOLD INC,2700438,CA3590321095,359032109
GBG CT Equity,BBG000BTZMT5,GREAT BASIN GOLD LTD,2137014,CA3901241057,390124105
GTG/B CT Equity,BBG000BL2Q64,GT GROUP TELECOM INC-CL B,,CA3623594080,362359408
IOL CT Equity,BBG000PGRBR3,INTEROIL CORP,2000848,CA4609511064,460951106
IT CT Equity,BBG002082VF0,INTERTAIN GROUP LTD/THE,BJWQ105,CA46111Q1019,46111Q101
NT CT Equity,BBG000C1JSC8,NORTEL NETWORKS CORP,B1H4Y76,CA6565685089,656568508
OIL/H CT Equity,BBG000BHXYV4,0915988 BC LTD,2656081,CA80933A1012,80933A101
ONY CT Equity,BBG000BH70N6,ONCOTHYREON INC,2098445,US6823241087,682324108
OPY CT Equity,BBG000CZQRZ2,OPPENHEIMER HOLDINGS-CL A,2375610,CA6837971044,
SWI CT Equity,BBG000J61DL2,SWISHER HYGIENE INC,B57YX77,US8708081026,870808102
TEO CT Equity,BBG000BTXF76,TESCO CORP,2884310,CA88157K1012,88157K101
YLO CT Equity,BBG000PV85T2,YELLOW PAGES DIGITAL & MEDIA,B5NW3G4,CA9855211038,985521103
