fsym_id,sector,industry_group,industry,sub_industry,sector_id,industry_group_id,industry_id,sub_industry_id
B04V7K-R,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity,55,5510,551050,55105020
B19ST9-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35,3520,352020,35202010
B1DND3-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,25,2530,253010,25301010
B3DVXC-R,Materials,Materials,Metals & Mining,Copper,15,1510,151040,15104025
B3LCDJ-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
B4L66G-R,Financials,Banks,Banks,Regional Banks,40,4010,401010,40101015
B4PGFJ-R,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,45,4510,451020,45102010
B4Q4R5-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
B5PHMN-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
B5TG5C-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,35,3510,351020,35102015
B6V0BZ-R,Consumer Discretionary,Retailing,Distributors,Distributors,25,2550,255010,25501010
B6ZP8C-R,Real Estate,Real Estate,Equity Real Estate Investment,Health Care REITs,60,6010,601010,60101050
B6ZXQL-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
B71DJZ-R,Communication Services,Media & Entertainment,Media,Broadcasting,50,5020,502010,50201020
B81TLL-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
B8350Q-R,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail,30,3010,301010,30101030
B8374S-R,Materials,Materials,Metals & Mining,Aluminum,15,1510,151040,15104010
B83YJG-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55,5510,551010,55101010
B9310T-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
B97MP0-R,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs,60,6010,601010,60101020
BB6XFF-R,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,35,3520,352030,35203010
BBDJ3P-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20,2010,201060,20106010
BCD4JF-R,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,15,1510,151010,15101030
BCHRDT-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
BDHNGY-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
BDMWDS-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
BDQDB8-R,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,25,2550,255030,25503020
BFMPK2-R,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs,60,6010,601010,60101020
BFSQSF-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,10,1010,101020,10102040
BFSY5M-R,Industrials,Transportation,Airlines,Airlines,20,2030,203020,20302010
BHX6NW-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
BJ2HRV-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
BK2FRW-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors,35,3510,351020,35102010
BK6JKQ-R,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,35,3520,352030,35203010
BK6YC3-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
BL5KVX-R,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,30,3010,301010,30101040
BLB2G4-R,Information Technology,Software & Services,Software,Systems Software,45,4510,451030,45103020
BM9QXX-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
