,date
0,1984-01-31
1,1984-02-29
2,1984-03-30
3,1984-04-30
4,1984-05-31
5,1984-06-29
6,1984-07-31
7,1984-08-31
8,1984-09-28
9,1984-10-31
10,1984-11-30
11,1984-12-31
12,1985-01-31
13,1985-02-28
14,1985-03-29
15,1985-04-30
16,1985-05-31
17,1985-06-28
18,1985-07-31
19,1985-08-30
20,1985-09-30
21,1985-10-31
22,1985-11-29
23,1985-12-31
24,1986-01-31
25,1986-02-28
26,1986-03-31
27,1986-04-30
28,1986-05-30
29,1986-06-30
30,1986-07-31
31,1986-08-29
32,1986-09-30
33,1986-10-31
34,1986-11-28
35,1986-12-31
36,1987-01-30
37,1987-02-27
38,1987-03-31
39,1987-04-30
40,1987-05-29
41,1987-06-30
42,1987-07-31
43,1987-08-31
44,1987-09-30
45,1987-10-30
46,1987-11-30
47,1987-12-31
48,1988-01-29
49,1988-02-29
50,1988-03-31
51,1988-04-29
52,1988-05-31
53,1988-06-30
54,1988-07-29
55,1988-08-31
56,1988-09-30
57,1988-10-31
58,1988-11-30
59,1988-12-30
60,1989-01-31
61,1989-02-28
62,1989-03-31
63,1989-04-28
64,1989-05-31
65,1989-06-30
66,1989-07-31
67,1989-08-31
68,1989-09-29
69,1989-10-31
70,1989-11-30
71,1989-12-29
72,1990-01-31
73,1990-02-28
74,1990-03-30
75,1990-04-30
76,1990-05-31
77,1990-06-29
78,1990-07-31
79,1990-08-31
80,1990-09-28
81,1990-10-31
82,1990-11-30
83,1990-12-31
84,1991-01-31
85,1991-02-28
86,1991-03-29
87,1991-04-30
88,1991-05-31
89,1991-06-28
90,1991-07-31
91,1991-08-30
92,1991-09-30
93,1991-10-31
94,1991-11-29
95,1991-12-31
96,1992-01-31
97,1992-02-28
98,1992-03-31
99,1992-04-30
100,1992-05-29
101,1992-06-30
102,1992-07-31
103,1992-08-31
104,1992-09-30
105,1992-10-30
106,1992-11-30
107,1992-12-31
108,1993-01-29
109,1993-02-26
110,1993-03-31
111,1993-04-30
112,1993-05-31
113,1993-06-30
114,1993-07-30
115,1993-08-31
116,1993-09-30
117,1993-10-29
118,1993-11-30
119,1993-12-31
120,1994-01-31
121,1994-02-28
122,1994-03-31
123,1994-04-29
124,1994-05-31
125,1994-06-30
126,1994-07-29
127,1994-08-31
128,1994-09-30
129,1994-10-31
130,1994-11-30
131,1994-12-30
132,1995-01-31
133,1995-02-28
134,1995-03-31
135,1995-04-28
136,1995-05-31
137,1995-06-30
138,1995-07-31
139,1995-08-31
140,1995-09-29
141,1995-10-31
142,1995-11-30
143,1995-12-29
144,1996-01-31
145,1996-02-29
146,1996-03-29
147,1996-04-30
148,1996-05-31
149,1996-06-28
150,1996-07-31
151,1996-08-30
152,1996-09-30
153,1996-10-31
154,1996-11-29
155,1996-12-31
156,1997-01-31
157,1997-02-28
158,1997-03-31
159,1997-04-30
160,1997-05-30
161,1997-06-30
162,1997-07-31
163,1997-08-29
164,1997-09-30
165,1997-10-31
166,1997-11-28
167,1997-12-31
168,1998-01-30
169,1998-02-27
170,1998-03-31
171,1998-04-30
172,1998-05-29
173,1998-06-30
174,1998-07-31
175,1998-08-31
176,1998-09-30
177,1998-10-30
178,1998-11-30
179,1998-12-31
180,1999-01-29
181,1999-02-26
182,1999-03-31
183,1999-04-30
184,1999-05-31
185,1999-06-30
186,1999-07-30
187,1999-08-31
188,1999-09-30
189,1999-10-29
190,1999-11-30
191,1999-12-31
192,2000-01-31
193,2000-02-29
194,2000-03-31
195,2000-04-28
196,2000-05-31
197,2000-06-30
198,2000-07-31
199,2000-08-31
200,2000-09-29
201,2000-10-31
202,2000-11-30
203,2000-12-29
204,2001-01-31
205,2001-02-28
206,2001-03-30
207,2001-04-30
208,2001-05-31
209,2001-06-29
210,2001-07-31
211,2001-08-31
212,2001-09-28
213,2001-10-31
214,2001-11-30
215,2001-12-31
216,2002-01-31
217,2002-02-28
218,2002-03-28
219,2002-04-30
220,2002-05-31
221,2002-06-28
222,2002-07-31
223,2002-08-30
224,2002-09-30
225,2002-10-31
226,2002-11-29
227,2002-12-31
228,2003-01-31
229,2003-02-28
230,2003-03-31
231,2003-04-30
232,2003-05-30
233,2003-06-30
234,2003-07-31
235,2003-08-29
236,2003-09-30
237,2003-10-31
238,2003-11-28
239,2003-12-31
240,2004-01-30
241,2004-02-27
242,2004-03-31
243,2004-04-30
244,2004-05-31
245,2004-06-30
246,2004-07-30
247,2004-08-31
248,2004-09-30
249,2004-10-29
250,2004-11-30
251,2004-12-31
252,2005-01-31
253,2005-02-28
254,2005-03-31
255,2005-04-29
256,2005-05-31
257,2005-06-30
258,2005-07-29
259,2005-08-31
260,2005-09-30
261,2005-10-31
262,2005-11-30
263,2005-12-30
264,2006-01-31
265,2006-02-28
266,2006-03-31
267,2006-04-28
268,2006-05-31
269,2006-06-30
270,2006-07-31
271,2006-08-31
272,2006-09-29
273,2006-10-31
274,2006-11-30
275,2006-12-29
276,2007-01-31
277,2007-02-28
278,2007-03-30
279,2007-04-30
280,2007-05-31
281,2007-06-29
282,2007-07-31
283,2007-08-31
284,2007-09-28
285,2007-10-31
286,2007-11-30
287,2007-12-31
288,2008-01-31
289,2008-02-29
290,2008-03-31
291,2008-04-30
292,2008-05-30
293,2008-06-30
294,2008-07-31
295,2008-08-29
296,2008-09-30
297,2008-10-31
298,2008-11-28
299,2008-12-31
300,2009-01-30
301,2009-02-27
302,2009-03-31
303,2009-04-30
304,2009-05-29
305,2009-06-30
306,2009-07-31
307,2009-08-31
308,2009-09-30
309,2009-10-30
310,2009-11-30
311,2009-12-31
312,2010-01-29
313,2010-02-26
314,2010-03-31
315,2010-04-30
316,2010-05-31
317,2010-06-30
318,2010-07-30
319,2010-08-31
320,2010-09-30
321,2010-10-29
322,2010-11-30
323,2010-12-31
324,2011-01-31
325,2011-02-28
326,2011-03-31
327,2011-04-29
328,2011-05-31
329,2011-06-30
330,2011-07-29
331,2011-08-31
332,2011-09-30
333,2011-10-31
334,2011-11-30
335,2011-12-30
336,2012-01-31
337,2012-02-29
338,2012-03-30
339,2012-04-30
340,2012-05-31
341,2012-06-29
342,2012-07-31
343,2012-08-31
344,2012-09-28
345,2012-10-31
346,2012-11-30
347,2012-12-31
348,2013-01-31
349,2013-02-28
350,2013-03-28
351,2013-04-30
352,2013-05-31
353,2013-06-28
354,2013-07-31
355,2013-08-30
356,2013-09-30
357,2013-10-31
358,2013-11-29
359,2013-12-31
360,2014-01-31
361,2014-02-28
362,2014-03-31
363,2014-04-30
364,2014-05-30
365,2014-06-30
366,2014-07-31
367,2014-08-29
368,2014-09-30
369,2014-10-31
370,2014-11-28
371,2014-12-31
372,2015-01-30
373,2015-02-27
374,2015-03-31
375,2015-04-30
376,2015-05-29
377,2015-06-30
378,2015-07-31
379,2015-08-31
380,2015-09-30
381,2015-10-30
382,2015-11-30
383,2015-12-31
384,2016-01-29
385,2016-02-29
386,2016-03-31
387,2016-04-29
388,2016-05-31
389,2016-06-30
390,2016-07-29
391,2016-08-31
392,2016-09-30
393,2016-10-31
394,2016-11-30
395,2016-12-30
396,2017-01-31
397,2017-02-28
398,2017-03-31
399,2017-04-28
400,2017-05-31
401,2017-06-30
402,2017-07-31
403,2017-08-31
404,2017-09-29
405,2017-10-31
406,2017-11-30
407,2017-12-29
408,2018-01-31
409,2018-02-28
410,2018-03-29
411,2018-04-30
412,2018-05-31
413,2018-06-29
414,2018-07-31
415,2018-08-31
416,2018-09-28
417,2018-10-31
418,2018-11-30
419,2018-12-31
